COUNTRIES,WEIGHTED_WORLD_DEATH,WEIGHTED_GOUVERNANCE,WEIGHTED_EDUCATION,WEIGHTED_GDP,WEIGHTED_HCI
Greece,0.5836057583325826,7.7487233200000000000000,1.594809475200000000000,25.9052662907507100,39.8584124087127000
Malaysia,0.1837659719791328,6.7045238400000000000000,2.236866963200000000000,28.8860074736993160,37.0530542848776000
Antigua and Barbuda,0.3186207498396364,10.6608330400000000000000,1.548598241800000000000,25.0559809780193200,37.1928238989398000
Kuwait,0.1302110754651688,-3.8214406400000000000000,2.209534430000000000000,39.9908201883380940,36.0190827909080000
Russian Federation,0.3565333260525492,-14.1228384800000000000000,2.280334667800000000000,46.6564276084806200,39.3355502543807000
Bahrain,0.3550354573591578,-7.8207284600000000000000,1.335208405000000000000,41.8994871590135600,38.0367009405987000
Mauritius,-0.546192978972774,17.5573713400000000000000,2.570041942000000000000,15.8219276837496200,36.6503960441995000
Barbados,-0.3034073826041146,18.2691483600000000000000,2.187103811200000000000,13.7363883724172000,36.0992129886973000
Seychelles,-0.4329396420922542,6.8541732800000000000000,1.879621516400000000000,24.6235687669017600,36.9073965789982000
Oman,0.03509260131347136,-0.4083641000000000000000,2.237947208200000000000,29.4050859620544000,37.0438930047109000
Bulgaria,0.3155603764110926,6.6561702000000000000000,2.066325906000000000000,21.1063311766325420,37.7674585251544000
Samoa,-0.483565367361563,12.2824332000000000000000,2.065534760000000000000,14.4161853838122600,36.5614278409772000
St. Vincent and the Grenadines,-0.543064269613990,13.0718738400000000000000,2.756740974000000000000,13.3947173839919640,35.5159042656204000
Saudi Arabia,0.246386504505983,-10.6806080000000000000000,0.529411765000000000000,37.7699043961602000,36.3020023718319000
Panama,-0.4099284368291306,5.4164009600000000000000,1.667253004400000000000,22.8121625809293800,34.6391194759960000
Mongolia,-0.5890247916089354,2.8356273600000000000000,2.465003896600000000000,21.4666676188702740,37.3412195819724000
Serbia,0.3616893427824172,-0.0125914000000000000000,1.569814157200000000000,21.7548181862967180,39.3768307026059000
Georgia,0.0136000173725230,8.6783525400000000000000,1.855723386200000000000,15.7767764938443200,36.0502214347796000
Brazil,-0.4952393018176646,-2.6628737800000000000000,2.766373272200000000000,26.4563522533629220,36.2578378173324000
Botswana,-2.962210506056576,12.2414514800000000000000,2.126056194800000000000,19.7131715415006800,30.7501920332543000
Grenada,-0.7065390872456606,8.0530570600000000000000,2.129199623600000000000,15.5451770420420200,36.4181056183646000
St. Lucia,-1.124498858888912,12.9670423800000000000000,2.158128121000000000000,8.5411463592739400,37.8191990111736000
Turkey,0.01371349349895124,-11.2955456200000000000000,2.134553254000000000000,30.6736058293830200,38.8103609422702000
Tonga,-0.0983245908060762,5.4032363600000000000000,2.463957590000000000000,16.5311548402831900,35.5396543726453000
Dominican Republic,-2.419837781745012,-1.6410324600000000000000,2.851970680000000000000,25.6680723500718400,35.0319372755673000
Kazakhstan,0.01747151420546396,-8.5873177600000000000000,1.806681754200000000000,27.8595139828289560,38.0920257458596000
Indonesia,-1.217551422938062,-2.0552827000000000000000,2.147180160200000000000,24.7611699056304560,34.9501529373963000
Vietnam,-0.8343912176722346,-10.4875774400000000000000,2.160529678800000000000,28.7683123184365600,38.4742930123989000
Ghana,-3.111956983385498,2.2844147400000000000000,2.406405437000000000000,23.5300166015882660,32.7410438625186000
Albania,-0.02515834177567834,1.7883396200000000000000,1.951516316800000000000,15.2785004083621080,38.4138291843987000
Montenegro,0.666312036105668,2.6162088800000000000000,0.529411765000000000000,13.9700545498576400,38.3276664678813000
Bhutan,-1.705074545901958,7.5318484600000000000000,2.379958269400000000000,14.2696839833267200,33.1030024936185000
India,-2.467117714428878,-2.5285867200000000000000,1.796567925000000000000,25.3687197581131200,33.1395188573916000
Peru,-0.2407399752880956,1.1278851600000000000000,2.513197371800000000000,13.8662976810544000,37.5216138509709000
Senegal,-2.62569763811257,-0.1917219000000000000000,2.721406558000000000000,23.2355134834669760,31.5130750658339000
Trinidad and Tobago,-0.7794928302057042,4.0917329600000000000000,1.579181446800000000000,11.7494044021110440,37.1382674016926000
Kiribati,-3.218896813040556,7.2567856200000000000000,3.195700699800000000000,12.0265113170073060,33.8135123557740000
Argentina,0.03504086959236972,0.7594032400000000000000,2.389774961200000000000,12.0705204961268200,37.6808717104140000
Mexico,-0.4104379741269758,-4.7554408600000000000000,2.515102209000000000000,17.6448518308185200,37.6320759478479000
Armenia,-0.14792085150148092,-3.2947336200000000000000,1.695453277800000000000,17.0597965810042060,36.8812036957776000
North Macedonia,0.10165857084901596,0.9367834000000000000000,0.764705882000000000000,13.5490206458170600,36.7109327506690000
Colombia,-0.3000889814597866,-1.5556876600000000000000,2.282210938600000000000,13.7852206179037400,37.4566415808018000
"Micronesia, Fed. Sts.",-1.411156280823046,7.5397637600000000000000,3.117671342200000000000,7.9545735520625380,34.2485391245376000
