Country_Name,Country Code,Year,Control_of_Corruption_Score,Government_Effectiveness_Score,Political_Stability_Score,Regulatory_Quality_Score,Rule_of_Law_Score,Free_Speech_Score,Weighted_Governance
Afghanistan,AFG,2016,-1.526172,-1.226401,-2.671054,-1.327688,-1.498478,-1.037838,-31.779709
Afghanistan,AFG,2017,-1.515626,-1.325545,-2.801084,-1.336691,-1.562423,-0.9908541,-32.4032256
Afghanistan,AFG,2018,-1.487624,-1.453096,-2.763864,-1.133277,-1.664038,-1.011603,-31.790033
Afghanistan,AFG,2019,-1.400733,-1.463065,-2.655531,-1.12069,-1.713714,-1.006792,-31.170701
Afghanistan,AFG,2020,-1.475405,-1.523115,-2.729808,-1.378587,-1.807697,-1.083459,-33.640773
Albania,ALB,2016,-0.4051488,0.0130421,0.3446447,0.1890221,-0.3289996,0.1709267,2.2490786
Albania,ALB,2017,-0.4207218,0.0768489,0.3784748,0.223364,-0.4043231,0.2037846,2.8382068
Albania,ALB,2018,-0.4786321,0.0572399,0.3705156,0.2541973,-0.4033851,0.1807338,2.6485221
Albania,ALB,2019,-0.5330888,-0.0622132,0.1111686,0.2738677,-0.4110933,0.1427107,1.0063666
Albania,ALB,2020,-0.5401961,-0.1357432,0.0839363,0.2371311,-0.3582943,0.0873399,0.199524
Algeria,DZA,2016,-0.6777601,-0.5313044,-1.097526,-1.171879,-0.8576039,-0.8628893,-19.2338721
Algeria,DZA,2017,-0.6018301,-0.5919687,-0.9157991,-1.19422,-0.8636625,-0.9040661,-18.9019218
Algeria,DZA,2018,-0.65687,-0.5273783,-0.8361196,-1.226688,-0.7409661,-1.000405,-19.1171894
Algeria,DZA,2019,-0.6211485,-0.5163999,-1.044343,-1.303447,-0.8157083,-1.056199,-20.639006
Algeria,DZA,2020,-0.6418455,-0.5258437,-0.8601653,-1.291494,-0.7803177,-1.102139,-20.152505
American Samoa,ASM,2016,1.228804,0.5310323,1.193236,0.1366879,1.340514,1.869559,22.0649564
American Samoa,ASM,2017,1.843864,0.5624972,1.218863,-0.2525457,1.361758,1.666395,20.3480711
American Samoa,ASM,2018,1.845657,0.5495368,1.216776,-0.2859912,1.364065,1.463231,18.9205234
American Samoa,ASM,2019,1.844056,0.5423087,1.172189,-0.2996039,1.335337,1.272752,17.4776236
American Samoa,ASM,2020,1.314374,0.6968508,1.169803,0.542098,1.193629,1.056903,19.6440494
Andorra,AND,2016,1.228804,1.860076,1.413419,0.8714429,1.578047,1.176598,26.6863615
Andorra,AND,2017,1.245126,1.940301,1.421869,1.209727,1.605818,1.161647,28.622966
Andorra,AND,2018,1.239041,1.943918,1.417627,1.193258,1.607841,1.036913,27.775953
Andorra,AND,2019,1.234696,1.908389,1.602202,1.228282,1.580232,1.110124,28.985753
