Year,Country_Name,Country_Code,Compulsory_education_duration_year,Government_expenditure_on_education_on_gdp,Government_expenditure_on_education_total_of_goverment_expenditure,Weighted_education
2018,Belize,BLZ,8,7.47227001190186,22.1137504577637,2.99005719033926
2019,Belize,BLZ,8,7.1383900642395,22.0944194793701,2.93940420765011
2020,Belize,BLZ,8,7.94095993041992,21.5209808349609,3.02153805401783
2016,Benin,BEN,6,2.89910006523132,18.7914009094238,1.98317481623143
2017,Benin,BEN,6,3.53558993339539,19.8796501159668,2.14694177270635
2018,Benin,BEN,6,2.93396997451782,17.7091808319092,1.91916076248126
2019,Benin,BEN,6,2.96519994735718,17.1680707931519,1.88919552725474
2020,Benin,BEN,6,2.98723324139913,16.6269607543946,1.85786909759585
2016,Bermuda,BMU,13,1.32495999336243,7.77346992492676,1.45768980750812
2017,Bermuda,BMU,13,1.32495999336243,7.77346992492676,1.45768980750812
2018,Bermuda,BMU,13,1.32495999336243,7.77346992492676,1.45768980750812
2019,Bermuda,BMU,13,1.32495999336243,7.77346992492676,1.45768980750812
2020,Bermuda,BMU,13,1.32495999336243,7.77346992492676,1.45768980750812
2016,Brazil,BRA,14,6.314040184021,15.9288301467896,2.77623159670632
2017,Brazil,BRA,14,6.32047986984253,16.5049095153809,2.81400752079958
2018,Brazil,BRA,14,6.08851003646851,16.1483592987061,2.75688325270811
2019,Brazil,BRA,14,5.97574496269226,16.2581238746643,2.74720908070901
2020,Brazil,BRA,14,5.86297988891602,16.3678884506226,2.73753490870991
2016,British Virgin Islands,VGB,12,3.79742002487183,14.3893804550171,2.18770014678145
2017,British Virgin Islands,VGB,12,2.66543006896973,15.009349822998,2.05978327518913
2018,British Virgin Islands,VGB,12,2.69412994384766,13.9963903427124,1.99928311165625
2019,British Virgin Islands,VGB,12,2.918790102005,12.195460319519,1.91742010223579
2020,British Virgin Islands,VGB,12,2.62591346104939,13.1613798141479,1.9358128555505
2016,Brunei Darussalam,BRN,9,4.42540979385376,11.4419498443604,1.91577918799522
2017,Brunei Darussalam,BRN,9,4.42540979385376,11.4419498443604,1.91577918799522
2018,Brunei Darussalam,BRN,9,4.42540979385376,11.4419498443604,1.91577918799522
2019,Brunei Darussalam,BRN,9,4.42540979385376,11.4419498443604,1.91577918799522
2020,Brunei Darussalam,BRN,9,4.42540979385376,11.4419498443604,1.91577918799522
2016,Bulgaria,BGR,11,4.09102010726929,12.7309503555298,2.06632590613257
2017,Bulgaria,BGR,11,4.09102010726929,12.7309503555298,2.06632590613257
2018,Bulgaria,BGR,11,4.09102010726929,12.7309503555298,2.06632590613257
2019,Bulgaria,BGR,11,4.09102010726929,12.7309503555298,2.06632590613257
2020,Bulgaria,BGR,11,4.09102010726929,12.7309503555298,2.06632590613257
2016,Burkina Faso,BFA,10,5.54996490478514,20.2268314361572,2.70257392419376
2017,Burkina Faso,BFA,10,5.62846994400024,21.4440002441406,2.79199440548284
2018,Burkina Faso,BFA,10,5.43056011199951,22.661169052124,2.8405029019114
2019,Burkina Faso,BFA,10,5.78548002243042,23.8783378601074,2.970835368061
2020,Burkina Faso,BFA,10,5.86398506164551,25.0955066680907,3.06025584935008
2016,Cabo Verde,CPV,10,5.28879022598267,17.8430099487305,2.51154460018068
2017,Cabo Verde,CPV,10,5.18174982070923,16.4125804901123,2.40426907227085
2018,Cabo Verde,CPV,10,5.36885023117065,17.5685405731201,2.50585024350383
2019,Cabo Verde,CPV,10,4.73345994949341,15.1536998748779,2.25745077507249
2020,Cabo Verde,CPV,10,4.54834985733032,17.0901908874512,2.35383257468129
2016,Cameroon,CMR,6,2.65423011779785,12.6946897506714,1.55723214445382
2017,Cameroon,CMR,6,3.15481996536255,15.9128103256226,1.83702525539637
2018,Cameroon,CMR,6,3.13120007514954,16.8831596374512,1.8955536771832
2019,Cameroon,CMR,6,3.10050010681152,14.0946702957153,1.71277053803432
2020,Cameroon,CMR,6,3.24925676981607,14.3899097442627,1.75365951632588
2016,Caribbean small states,CSS,6.5,4.64326500892639,14.7895903587341,2.01494497572379
2017,Caribbean small states,CSS,6.5,4.41071999073029,14.1447253227234,1.93930659317014
2018,Caribbean small states,CSS,6.5,4.35002493858337,14.177869796753,1.93244174118556
2019,Caribbean small states,CSS,6.5,4.36243999004364,13.9673848152161,1.92082515895261
2020,Caribbean small states,CSS,6.5,5.40337991714478,9.37712955474854,1.78148649890184
2016,Central African Republic,CAF,10,1.7540899515152,7.31901979446411,1.31568617225751
2017,Central African Republic,CAF,10,1.75364995002747,8.89505004882813,1.41636034683775
2018,Central African Republic,CAF,10,1.56587994098663,9.13549995422363,1.40393810351612
2019,Central African Republic,CAF,10,1.76871001720428,9.79780960083008,1.47629345024904
2020,Central African Republic,CAF,10,1.77358337243397,9.78244018554688,1.47603234476597
2016,Central Europe and the Baltics,CEB,10,4.63339996337891,11.2839498519897,1.99528790290655
2017,Central Europe and the Baltics,CEB,10,4.09102010726929,10.8470802307129,1.88708606168324
2018,Central Europe and the Baltics,CEB,10,4.26692008972168,11.1235504150391,1.93079278022821
