Year,Country_Name,Country_Code,Compulsory_education_duration_years,Government_expenditure_on_education_total,"Government expenditure on education, total (% of government expenditure)",Weighted World Education
2017,France,FRA,10,5.451600075,9.652429581,2.012102967
2018,France,FRA,10,5.413169861,9.724829674,2.011042724
2019,France,FRA,10,5.374739647,9.797229767,2.009982482
2020,France,FRA,13,5.336309433,9.86962986,2.185392828
2016,French Polynesia,PYF,0,0,0,0
2017,French Polynesia,PYF,0,0,0,0
2018,French Polynesia,PYF,0,0,0,0
2019,French Polynesia,PYF,0,0,0,0
2020,French Polynesia,PYF,0,0,0,0
2016,Gabon,GAB,10,2.769999981,10.2796402,1.655292167
2017,Gabon,GAB,10,3.326809883,16.05843925,2.107084039
2018,Gabon,GAB,10,2.933459997,14.6950798,1.961719122
2019,Gabon,GAB,10,2.767829895,14.15939045,1.902963244
2020,Gabon,GAB,10,2.767106533,15.02552032,1.958218896
2016,"Gambia, The",GMB,9,2.024430037,10.35778999,1.491112624
2017,"Gambia, The",GMB,9,2.459189892,10.7730298,1.582003129
2018,"Gambia, The",GMB,9,2.365439892,11.18826962,1.594669235
2019,"Gambia, The",GMB,9,2.875299931,11.60350943,1.696675269
2020,"Gambia, The",GMB,9,3.158923229,12.01874924,1.765196151
2016,Georgia,GEO,9,3.593869925,12.66619968,1.870957133
2017,Georgia,GEO,9,3.574429989,12.9533596,1.886435002
2018,Georgia,GEO,9,3.52105999,12.95149994,1.878416874
2019,Georgia,GEO,9,3.808640003,11.54518223,1.831090071
2020,Georgia,GEO,9,3.839129925,11.17150974,1.811717851
2016,Germany,DEU,13,4.839230061,10.91053963,2.17835502
2017,Germany,DEU,13,4.882740021,11.04769039,2.193561529
2018,Germany,DEU,13,4.992740154,11.23017979,2.221507235
2019,Germany,DEU,13,5.069495201,11.38999987,2.243083343
2020,Germany,DEU,13,5.146250248,11.54981995,2.26465945
2016,Ghana,GHA,11,4.528840065,22.09332085,2.729566778
2017,Ghana,GHA,11,3.627379894,20.09763908,2.46857897
2018,Ghana,GHA,11,4.004129887,18.59816933,2.428495912
2019,Ghana,GHA,11,3.741774797,16.85059357,2.277960479
2020,Ghana,GHA,11,3.479419708,15.10301781,2.127425046
2016,Gibraltar,GIB,10,0,0,0.588235294
2017,Gibraltar,GIB,10,0,0,0.588235294
2018,Gibraltar,GIB,10,0,0,0.588235294
2019,Gibraltar,GIB,10,0,0,0.588235294
2020,Gibraltar,GIB,10,0,0,0.588235294
2016,Greece,GRC,10,3.350469828,6.942329884,1.52788743
2017,Greece,GRC,10,3.47220993,7.183919907,1.561348453
2018,Greece,GRC,10,3.593950033,7.42550993,1.594809475
2019,Greece,GRC,10,3.715690136,7.667099953,1.628270498
2020,Greece,GRC,10,3.837430239,7.908689976,1.66173152
2016,Greenland,GRL,10,11.08613968,0,2.2290876
2017,Greenland,GRL,10,11.02855968,0,2.220565222
2018,Greenland,GRL,10,10.5601902,0,2.15124216
2019,Greenland,GRL,10,10.29721546,0,2.112319441
2020,Greenland,GRL,10,10.03424072,0,2.073396721
2016,Grenada,GRD,12,2.795049906,14.04117012,2.017082517
2017,Grenada,GRD,12,3.173799992,14.04117012,2.07314107
2018,Grenada,GRD,12,3.552550077,14.04117012,2.129199624
2019,Grenada,GRD,12,3.931300163,14.04117012,2.185258177
2020,Grenada,GRD,12,4.310050249,14.04117012,2.24131673
2016,Guam,GUM,0,0,0,0
2017,Guam,GUM,0,0,0,0
2018,Guam,GUM,0,0,0,0
2019,Guam,GUM,0,0,0,0
2020,Guam,GUM,0,0,0,0
2016,Guatemala,GTM,16,2.944740057,23.4347496,2.874966469
2017,Guatemala,GTM,16,2.950099945,23.08805084,2.85359892
2018,Guatemala,GTM,16,3.137049913,23.74954033,2.923551438
2019,Guatemala,GTM,16,3.199280024,23.75538063,2.933135386
2020,Guatemala,GTM,16,3.299720049,21.1411705,2.780902058
2016,Guinea,GIN,6,2.544500113,15.76885986,1.737490949
2017,Guinea,GIN,6,2.320339918,13.37679005,1.551412884
2018,Guinea,GIN,6,2.384320021,14.87012005,1.656335666
2019,Guinea,GIN,6,1.848369956,12.40536022,1.419463466
2020,Guinea,GIN,6,2.199470043,12.29076004,1.464104357
2016,Guinea-Bissau,GNB,9,2.299999952,10,1.509029737
2017,Guinea-Bissau,GNB,9,2.200000048,15,1.813827056
2018,Guinea-Bissau,GNB,9,2.137870073,20,2.124229478
2019,Guinea-Bissau,GNB,9,2.947819948,25,2.56370787
2020,Guinea-Bissau,GNB,9,3.163759947,30,2.915267248
2016,Guyana,GUY,6,4.737750053,18.71751022,2.250589136
2017,Guyana,GUY,6,4.66478014,17.63573074,2.170641943
2018,Guyana,GUY,6,4.45058012,16.00617027,2.034777406
2019,Guyana,GUY,6,4.306995153,14.6505003,1.926871541
2020,Guyana,GUY,6,4.163410187,13.29483032,1.818965676
2016,Haiti,HTI,6,1.422749996,13.10721016,1.401329734
2017,Haiti,HTI,6,1.591189981,15.19684982,1.559829458
2018,Haiti,HTI,6,1.682100058,14.64414024,1.537955997
2019,Haiti,HTI,6,1.811775088,15.41260529,1.606269129
2020,Haiti,HTI,6,1.941450119,16.18107033,1.67458226
2016,Heavily indebted poor countries (HIPC),HPC,8.5,3.094779968,14.99129009,1.916294349
2017,Heavily indebted poor countries (HIPC),HPC,8.5,3.627379894,15.91281033,2.054027366
2018,Heavily indebted poor countries (HIPC),HPC,8.5,3.310939908,16.80236435,2.06405127
2019,Heavily indebted poor countries (HIPC),HPC,8.5,3.438679934,14.59023952,1.941559748
2020,Heavily indebted poor countries (HIPC),HPC,8.5,3.553313255,13.33253956,1.878134812
2016,High income,HIC,10,4.926459789,12.89328957,2.141531925
2017,High income,HIC,10,4.882740021,11.86386967,2.069260833
2018,High income,HIC,10,4.898489952,11.75296497,2.064502981
2019,High income,HIC,10,4.884505033,11.18280268,2.025988509
2020,High income,HIC,10,4.870520115,10.61264038,1.987474037
2016,Honduras,HND,12,5.159619808,18.00941086,2.620709517
2017,Honduras,HND,12,4.937019825,19.67046928,2.693936909
2018,Honduras,HND,12,6.056469917,23.15510941,3.082362956
2019,Honduras,HND,12,4.912849903,20.11774063,2.718948961
2020,Honduras,HND,12,4.830593268,24.25477028,2.971211689
2016,"Hong Kong SAR, China",HKG,9,3.292649984,18.12696075,2.175423691
2017,"Hong Kong SAR, China",HKG,9,3.310100079,17.84127998,2.159745853
2018,"Hong Kong SAR, China",HKG,9,3.326519966,18.78783989,2.222679926
2019,"Hong Kong SAR, China",HKG,9,3.810600042,20.31401062,2.391880598
2020,"Hong Kong SAR, China",HKG,9,4.406340122,20.62105942,2.49968215
2016,Hungary,HUN,13,4.620490074,9.862719536,2.079003165
2017,Hungary,HUN,13,4.619729996,9.935609818,2.083549788
2018,Hungary,HUN,13,4.627309799,10.07503986,2.093583989
2019,Hungary,HUN,13,4.630719662,10.18120003,2.100874401
2020,Hungary,HUN,13,4.634129524,10.28736019,2.108164813
2016,IBRD only,IBD,10,3.962090015,14.82068491,2.121994615
2017,IBRD only,IBD,10,4.008424878,14.49975967,2.10833918
2018,IBRD only,IBD,10,4.167449951,14.11063004,2.107003347
2019,IBRD only,IBD,10,3.882860065,14.14798546,2.067269129
2020,IBRD only,IBD,10,3.856450081,13.92375231,2.049027301
2016,IDA & IBRD total,IBT,9,3.819204926,14.92718983,2.048830513
2017,IDA & IBRD total,IBT,9,3.912969947,15.33279514,2.088634762
2018,IDA & IBRD total,IBT,9,3.798414946,14.87012005,2.042105522
2019,IDA & IBRD total,IBT,9,3.663199902,14.14798546,1.975933842
2020,IDA & IBRD total,IBT,9,3.611198227,13.88825067,1.951634952
2016,IDA blend,IDB,9.5,5.362669945,13.87908506,2.239695042
2017,IDA blend,IDB,9.5,4.862154961,15.68577003,2.281096812
2018,IDA blend,IDB,9.5,3.587280035,15.58279991,2.085821592
2019,IDA blend,IDB,9.5,3.898000002,16.43465734,2.186261478
2020,IDA blend,IDB,9.5,3.409776688,17.28651476,2.16845029
2016,IDA only,IDX,9,3.265754938,15.34716034,1.993759109
2017,IDA only,IDX,9,3.745085001,16.16655922,2.117080127
2018,IDA only,IDX,9,3.504765034,15.88852024,2.063738371
2019,IDA only,IDX,9,3.44075501,16.15920019,2.071566057
2020,IDA only,IDX,9,3.499088367,16.42988014,2.097501706
2016,IDA total,IDA,9,3.511980057,15.06348038,2.012070005
2017,IDA total,IDA,9,3.775149941,15.91281033,2.105310479
2018,IDA total,IDA,9,3.562550068,15.8884201,2.072284696
2019,IDA total,IDA,9,3.442830086,16.30088997,2.080929948
2020,IDA total,IDA,9,3.419780095,16.71335983,2.103883262
2016,Iceland,ISL,10,7.432199955,15.97465992,2.709365001
2017,Iceland,ISL,10,7.583859921,17.04470062,2.800208718
2018,Iceland,ISL,10,7.574059963,17.21715927,2.809781729
2019,Iceland,ISL,10,7.644989967,17.83840895,2.859990093
2020,Iceland,ISL,10,7.715919971,18.45965862,2.910198457
2016,India,IND,8,3.450979948,12.75354958,1.796567925
2017,India,IND,8,3.450979948,12.75354958,1.796567925
2018,India,IND,8,3.450979948,12.75354958,1.796567925
2019,India,IND,8,3.450979948,12.75354958,1.796567925
2020,India,IND,8,3.450979948,12.75354958,1.796567925
2016,Indonesia,IDN,9,3.5,21.07877922,2.394792628
2017,Indonesia,IDN,9,2.669980049,16.11047935,1.954369939
2018,Indonesia,IDN,9,3,20,2.251832766
2019,Indonesia,IDN,9,2.841850042,18.21323299,2.114215576
2020,Indonesia,IDN,9,2.622466723,17.25805092,2.020689892
2016,"Iran, Islamic Rep.",IRN,9,3.365760088,19.44543076,2.270520808
2017,"Iran, Islamic Rep.",IRN,9,3.790400028,20.30521011,2.388328282
2018,"Iran, Islamic Rep.",IRN,9,3.955359936,21.14603996,2.466489438
2019,"Iran, Islamic Rep.",IRN,9,3.663199902,21.24616051,2.429646692
2020,"Iran, Islamic Rep.",IRN,9,3.762346506,21.84640376,2.482688654
2016,Iraq,IRQ,6,0,0,0.352941176
2017,Iraq,IRQ,6,0,0,0.352941176
2018,Iraq,IRQ,6,0,0,0.352941176
2019,Iraq,IRQ,6,0,0,0.352941176
2020,Iraq,IRQ,6,0,0,0.352941176
2016,Ireland,IRL,10,3.731739998,13.21032047,1.984966731
2017,Ireland,IRL,10,3.468849897,13.20170975,1.945506144
2018,Ireland,IRL,10,3.383090019,13.20294952,1.932892127
2019,Ireland,IRL,10,3.20876503,13.19926405,1.906854824
2020,Ireland,IRL,10,3.034440041,13.19557858,1.880817522
2016,Isle of Man,IMN,0,0,0,0
2017,Isle of Man,IMN,0,0,0,0
2018,Isle of Man,IMN,0,0,0,0
2019,Isle of Man,IMN,0,0,0,0
2020,Isle of Man,IMN,0,0,0,0
2016,Israel,ISR,15,5.863269806,15.43659973,2.736873702
2017,Israel,ISR,15,6.102729797,15.70108032,2.789221525
2018,Israel,ISR,15,6.164899826,15.52122021,2.786926675
2019,Israel,ISR,15,6.315714836,15.56353045,2.811953162
2020,Israel,ISR,15,6.466529846,15.60584068,2.836979649
2016,Italy,ITA,12,3.815789938,7.77489996,1.767623801
2017,Italy,ITA,12,4.044939995,8.295180321,1.834796289
2018,Italy,ITA,12,4.255720139,8.795740128,1.897989328
2019,Italy,ITA,12,4.475685239,9.306160212,1.963172091
2020,Italy,ITA,12,4.695650339,9.816580296,2.028354854
2016,Jamaica,JAM,6,5.314610004,19.14512062,2.363302507
2017,Jamaica,JAM,6,5.260169983,18.40254021,2.307779396
2018,Jamaica,JAM,6,5.413809776,18.58399963,2.342118344
2019,Jamaica,JAM,6,5.163640022,17.31398964,2.223912291
2020,Jamaica,JAM,6,5.403379917,16.70361265,2.220380954
2016,Japan,JPN,9,0,0,0.529411765
2017,Japan,JPN,9,0,0,0.529411765
2018,Japan,JPN,9,0,0,0.529411765
2019,Japan,JPN,9,0,0,0.529411765
2020,Japan,JPN,9,0,0,0.529411765
2016,Jordan,JOR,10,3.452820063,12.15015984,1.875918879
2017,Jordan,JOR,10,3.228539944,11.19604969,1.78173694
2018,Jordan,JOR,10,2.984810114,9.825320244,1.658046103
2019,Jordan,JOR,10,2.988470078,9.859749794,1.660788537
2020,Jordan,JOR,10,2.833686749,9.09627978,1.589078423
2016,Kazakhstan,KAZ,9,2.978100061,13.8441,1.85510841
2017,Kazakhstan,KAZ,9,2.750819921,11.41991043,1.666515481
2018,Kazakhstan,KAZ,9,2.615950108,13.88018036,1.803813076
2019,Kazakhstan,KAZ,9,2.856970072,14.10953045,1.85414626
2020,Kazakhstan,KAZ,9,2.816593409,14.19800727,1.853825544
2016,Kenya,KEN,12,5.362669945,17.35457039,2.608905663
2017,Kenya,KEN,12,5.366680145,17.70870018,2.632135062
2018,Kenya,KEN,12,5.306250095,19.03519058,2.707979649
2019,Kenya,KEN,12,4.97439003,19.87550068,2.712573583
2020,Kenya,KEN,12,5.079969883,20.71581078,2.781912713
2016,Kiribati,KIR,9,10.09358978,12.88805008,2.84715703
2017,Kiribati,KIR,9,10.86316013,12.54887962,2.93938098
2018,Kiribati,KIR,9,11.96829033,15.13971996,3.268556182
2019,Kiribati,KIR,9,12.39466,12.39466,3.156199612
2020,Kiribati,KIR,9,13.1616834,20.1776104,3.767209695
2016,"Korea, Dem. People's Rep.",PRK,12,0,0,0.705882353
2017,"Korea, Dem. People's Rep.",PRK,12,0,0,0.705882353
2018,"Korea, Dem. People's Rep.",PRK,12,0,0,0.705882353
2019,"Korea, Dem. People's Rep.",PRK,12,0,0,0.705882353
2020,"Korea, Dem. People's Rep.",PRK,12,0,0,0.705882353
2016,"Korea, Rep.",KOR,9,4.333099842,0,1.170751047
2017,"Korea, Rep.",KOR,9,4.328239918,0,1.170031733
2018,"Korea, Rep.",KOR,9,4.458079815,0,1.189249251
2019,"Korea, Rep.",KOR,9,4.520569801,0,1.198498353
2020,"Korea, Rep.",KOR,9,4.583059788,0,1.207747456
2016,Kosovo,XKX,0,0,0,0
2017,Kosovo,XKX,0,0,0,0
2018,Kosovo,XKX,0,0,0,0
2019,Kosovo,XKX,0,0,0,0
2020,Kosovo,XKX,0,0,0,0
2016,Kuwait,KWT,9,5.847710133,10.51535988,2.067065629
2017,Kuwait,KWT,9,6.36548996,11.13780975,2.183488661
2018,Kuwait,KWT,9,6.38917017,11.75430965,2.22640001
2019,Kuwait,KWT,9,6.49243021,12.82629967,2.310204685
2020,Kuwait,KWT,9,6.551259995,11.91267014,2.260513165
2016,Kyrgyz Republic,KGZ,10,6.586150169,16.92091942,2.644626297
2017,Kyrgyz Republic,KGZ,10,6.026189804,16.27813911,2.520660638
2018,Kyrgyz Republic,KGZ,10,5.552670002,16.79590034,2.483670397
2019,Kyrgyz Republic,KGZ,10,5.366749763,16.47274971,2.435496789
2020,Kyrgyz Republic,KGZ,10,4.960282962,16.32335981,2.365786952
2016,Lao PDR,LAO,9,0,0,0.529411765
2017,Lao PDR,LAO,9,0,0,0.529411765
2018,Lao PDR,LAO,9,0,0,0.529411765
2019,Lao PDR,LAO,9,0,0,0.529411765
2020,Lao PDR,LAO,9,0,0,0.529411765
2016,Late-demographic dividend,LTE,10,4.380859852,13.40364027,2.093399471
2017,Late-demographic dividend,LTE,10,4.229444981,12.9533596,2.042206873
2018,Late-demographic dividend,LTE,10,4.449100018,13.07722473,2.082635287
2019,Late-demographic dividend,LTE,10,4.061970234,14.02956963,2.08621001
2020,Late-demographic dividend,LTE,10,3.955673695,14.23821274,2.083813524
2016,Latin America & Caribbean,LCN,13,4.362750053,17.0281496,2.498867
2017,Latin America & Caribbean,LCN,13,4.421764851,17.57729912,2.542703185
2018,Latin America & Caribbean,LCN,13,4.254429817,16.1483593,2.426598706
2019,Latin America & Caribbean,LCN,13,4.042769909,14.60869026,2.296855958
2020,Latin America & Caribbean,LCN,13,3.936109861,13.80220381,2.229518944
2016,Latin America & Caribbean (excluding high income),LAC,13.5,4.362750053,17.90471458,2.58430849
2017,Latin America & Caribbean (excluding high income),LAC,13.5,4.437954903,17.57729912,2.574511229
2018,Latin America & Caribbean (excluding high income),LAC,13.5,4.09145987,16.36310482,2.445615853
2019,Latin America & Caribbean (excluding high income),LAC,13.5,4.042769909,15.72528505,2.397640069
2020,Latin America & Caribbean (excluding high income),LAC,13.5,3.936109861,15.95880032,2.396779598
2016,Latin America & the Caribbean (IDA & IBRD countries),TLA,14,4.362750053,17.0281496,2.557690529
2017,Latin America & the Caribbean (IDA & IBRD countries),TLA,14,4.421764851,17.57729912,2.601526715
2018,Latin America & the Caribbean (IDA & IBRD countries),TLA,14,4.254429817,16.1483593,2.485422235
2019,Latin America & the Caribbean (IDA & IBRD countries),TLA,14,4.042769909,14.60869026,2.355679488
2020,Latin America & the Caribbean (IDA & IBRD countries),TLA,14,3.936109861,15.95880032,2.426191363
2016,Latvia,LVA,11,4.659530163,12.89328957,2.160847374
2017,Latvia,LVA,11,4.370299816,11.96763039,2.05887077
2018,Latvia,LVA,11,4.245170116,11.14750957,1.987928571
2019,Latvia,LVA,11,4.037990093,10.27461958,1.90146917
2020,Latvia,LVA,11,3.83081007,9.401729584,1.815009769
2016,Least developed countries: UN classification,LDC,8,2.935029984,13.10721016,1.742808368
2017,Least developed countries: UN classification,LDC,8,3.454450011,15.05765486,1.944359126
2018,Least developed countries: UN classification,LDC,8,3.290864944,14.64414024,1.893715298
2019,Least developed countries: UN classification,LDC,8,3.089489937,15.41260529,1.913029929
2020,Least developed countries: UN classification,LDC,8,3.140976588,16.18107033,1.96977045
2016,Lebanon,LBN,10,2.123929977,7.148960114,1.359555798
2017,Lebanon,LBN,10,2.132940054,7.147540092,1.360798607
2018,Lebanon,LBN,10,2.524470091,8.047450066,1.476270641
2019,Lebanon,LBN,10,2.592020035,8.143950462,1.492436935
2020,Lebanon,LBN,10,2.748050054,9.89828968,1.627667582
2016,Lesotho,LSO,7,7.760749817,13.99763966,2.455152424
2017,Lesotho,LSO,7,8.156889915,15.11530972,2.585225938
2018,Lesotho,LSO,7,7.285359859,14.12979984,2.393237899
2019,Lesotho,LSO,7,7.800149918,13.13586044,2.405899384
2020,Lesotho,LSO,7,7.375010014,13.79121971,2.384865037
2016,Liberia,LBR,6,2.14812994,8.536089897,1.216508349
2017,Liberia,LBR,6,2.76128006,8.341939926,1.2948503
2018,Liberia,LBR,6,2.584120035,8.147789955,1.256218963
2019,Liberia,LBR,6,2.270390034,7.953639984,1.197373992
2020,Liberia,LBR,6,2.309289932,7.759490013,1.190721543
2016,Libya,LBY,9,0,0,0.529411765
2017,Libya,LBY,9,0,0,0.529411765
2018,Libya,LBY,9,0,0,0.529411765
2019,Libya,LBY,9,0,0,0.529411765
2020,Libya,LBY,9,0,0,0.529411765
2016,Liechtenstein,LIE,9,0,0,0.529411765
2017,Liechtenstein,LIE,9,0,0,0.529411765
2018,Liechtenstein,LIE,9,0,0,0.529411765
2019,Liechtenstein,LIE,9,0,0,0.529411765
2020,Liechtenstein,LIE,9,0,0,0.529411765
2016,Lithuania,LTU,10,4.004310131,12.02523994,1.949559729
2017,Lithuania,LTU,11,3.812200069,11.76564026,1.963355653
2018,Lithuania,LTU,11,3.894959927,11.74273014,1.974140478
2019,Lithuania,LTU,11,3.840284824,11.60147524,1.957019089
2020,Lithuania,LTU,11,3.785609722,11.46022034,1.939897699
2016,Low & middle income,LMY,9,3.803395033,15.06348038,2.055202145
2017,Low & middle income,LMY,9,3.920269966,15.68577003,2.112277264
2018,Low & middle income,LMY,9,3.714299917,15.13505983,2.046590569
2019,Low & middle income,LMY,9,3.663199902,14.15939045,1.976662845
2020,Low & middle income,LMY,9,3.616468191,13.85802714,1.950483079
2016,Low income,LIC,9,2.829074979,13.49743986,1.810892911
2017,Low income,LIC,9,2.981440067,14.34442043,1.887583068
2018,Low income,LIC,9,3.199790001,15.82935047,2.014817105
2019,Low income,LIC,9,3.213779926,16.99530578,2.091415197
2020,Low income,LIC,9,3.342014909,18.16126108,2.184922626
2016,Lower middle income,LMC,9,4.101970196,16.11104012,2.16635371
2017,Lower middle income,LMC,9,4.378844976,16.06520939,2.204404282
2018,Lower middle income,LMC,9,3.979744911,15.73571014,2.124272266
2019,Lower middle income,LMC,9,3.799200058,14.27907515,2.004442344
2020,Lower middle income,LMC,9,3.698276679,13.66842016,1.950471888
2016,Luxembourg,LUX,12,3.472920179,8.267549515,1.748365858
2017,Luxembourg,LUX,12,3.569590092,8.474499702,1.775902092
2018,Luxembourg,LUX,12,3.666260004,8.68144989,1.803438326
2019,Luxembourg,LUX,12,3.762929916,8.888400078,1.83097456
2020,Luxembourg,LUX,12,3.859599829,9.095350266,1.858510793
2016,"Macao SAR, China",MAC,10,3.098540068,13.83483982,1.931166279
2017,"Macao SAR, China",MAC,10,2.705579996,14.10256958,1.890117707
2018,"Macao SAR, China",MAC,10,2.727880001,15.1596899,1.960989075
2019,"Macao SAR, China",MAC,10,3.061460018,16.59794998,2.102295114
2020,"Macao SAR, China",MAC,10,3.049100002,17.5189867,2.159338059
2016,Madagascar,MDG,5,2.687190056,19.83818054,1.95989641
2017,Madagascar,MDG,5,2.836420059,15.83769989,1.726274531
2018,Madagascar,MDG,5,2.874520063,19.81804085,1.98633568
2019,Madagascar,MDG,5,2.944900036,16.44109917,1.780899651
2020,Madagascar,MDG,5,3.030803363,14.32063961,1.658075118
2016,Malawi,MWI,8,4.748569965,17.19881058,2.272762896
2017,Malawi,MWI,8,4.031330109,14.34442043,1.984153079
2018,Malawi,MWI,8,3.381939888,15.82935047,1.982953461
2019,Malawi,MWI,8,3.711319923,14.59023952,1.95250125
2020,Malawi,MWI,8,2.907619953,11.49765015,1.635868918
2016,Malaysia,MYS,6,4.751920223,20.93572044,2.394473669
2017,Malaysia,MYS,6,4.675310135,21.31582069,2.407430534
2018,Malaysia,MYS,6,4.479599953,19.64325905,2.271554046
2019,Malaysia,MYS,6,4.16339016,17.68560028,2.099619182
2020,Malaysia,MYS,6,3.967213472,16.75746918,2.011257385
2016,Maldives,MDV,7,3.68701005,10.15742016,1.606735379
2017,Maldives,MDV,7,3.887470007,11.35381031,1.712878164
2018,Maldives,MDV,7,3.912489891,11.38990021,1.718888194
2019,Maldives,MDV,7,4.121590137,12.05595016,1.792410664
2020,Maldives,MDV,7,4.266450167,10.50504017,1.714717682
2016,Mali,MLI,9,3.094779968,13.90388012,1.876199251
2017,Mali,MLI,9,3.789769888,16.53433037,2.14720171
2018,Mali,MLI,9,3.882529974,15.8884201,2.119644713
2019,Mali,MLI,9,3.438679934,14.63601971,1.973897766
2020,Mali,MLI,9,3.553313255,14.46611977,1.980004624
2016,Malta,MLT,11,5.084459782,14.16854954,2.305255098
2017,Malta,MLT,11,4.651629925,13.37271023,2.190322465
2018,Malta,MLT,11,4.218800068,12.57687092,2.075389831
2019,Malta,MLT,11,3.785970211,11.78103161,1.960457198
2020,Malta,MLT,11,3.353140354,10.9851923,1.845524565
2016,Marshall Islands,MHL,13,9.611289978,24.65839958,3.763422864
2017,Marshall Islands,MHL,13,9.611289978,12.52021027,2.987554077
2018,Marshall Islands,MHL,13,9.611289978,15.07800961,3.15104771
2019,Marshall Islands,MHL,13,9.611289978,15.04273987,3.148793281
2020,Marshall Islands,MHL,13,9.611289978,16.16671944,3.220637659
2016,Mauritania,MRT,9,1.944059968,9.330610275,1.413560136
2017,Mauritania,MRT,9,1.929692477,9.434222698,1.418056483
2018,Mauritania,MRT,9,1.915324986,9.537835121,1.42255283
2019,Mauritania,MRT,9,1.893730044,10.22801971,1.463472933
2020,Mauritania,MRT,9,1.886590004,9.745059967,1.431545523
2016,Mauritius,MUS,11,5.013599873,19.96249962,2.665114418
2017,Mauritius,MUS,11,5.02312994,20.35720062,2.691754106
2018,Mauritius,MUS,11,4.834589958,19.27433014,2.594631727
2019,Mauritius,MUS,11,4.719299793,18.67692947,2.539382064
2020,Mauritius,MUS,11,4.607999802,16.1177597,2.359327395
2016,Mexico,MEX,14,4.90681982,17.93932915,2.696460216
2017,Mexico,MEX,14,4.518219948,17.57729912,2.615802971
2018,Mexico,MEX,14,4.254429817,16.57785034,2.512875152
2019,Mexico,MEX,14,3.928234816,15.89711094,2.421082619
2020,Mexico,MEX,14,3.602039814,15.21637154,2.329290087
2016,"Micronesia, Fed. Sts.",FSM,8,13.51266003,21.58470917,3.850275245
2017,"Micronesia, Fed. Sts.",FSM,8,12.41641998,19.14845085,3.532296697
2018,"Micronesia, Fed. Sts.",FSM,8,9.697050095,17.12528992,3.000484799
2019,"Micronesia, Fed. Sts.",FSM,8,7.789245129,18.10730934,2.780882165
2020,"Micronesia, Fed. Sts.",FSM,8,5.881440163,16.94817607,2.424417805
2016,Middle East & North Africa,MEA,9,4.255970001,11.12190461,1.870243336
2017,Middle East & North Africa,MEA,9,4.255970001,11.19604969,1.874982664
2018,Middle East & North Africa,MEA,9,4.255970001,11.27019477,1.879721991
2019,Middle East & North Africa,MEA,9,4.255970001,11.34433985,1.884461318
2020,Middle East & North Africa,MEA,9,4.255970001,11.41848493,1.889200645
2016,Middle East & North Africa (IDA & IBRD countries),TMN,9,0,0,0.529411765
2017,Middle East & North Africa (IDA & IBRD countries),TMN,9,0,0,0.529411765
2018,Middle East & North Africa (IDA & IBRD countries),TMN,9,0,0,0.529411765
2019,Middle East & North Africa (IDA & IBRD countries),TMN,9,0,0,0.529411765
2020,Middle East & North Africa (IDA & IBRD countries),TMN,9,0,0,0.529411765
2016,Middle East & North Africa (excluding high income),MNA,9,4.217890143,14.37280941,2.072403851
2017,Middle East & North Africa (excluding high income),MNA,9,4.217890143,13.63574457,2.025290926
2018,Middle East & North Africa (excluding high income),MNA,9,4.217890143,11.80013514,1.907959418
2019,Middle East & North Africa (excluding high income),MNA,9,4.217890143,12.16161489,1.931065076
2020,Middle East & North Africa (excluding high income),MNA,9,4.217890143,11.42455006,1.883952152
2016,Middle income,MIC,10,4.026730061,15.60490036,2.181688721
2017,Middle income,MIC,10,4.091020107,15.87569523,2.208513362
2018,Middle income,MIC,10,3.979744911,14.6950798,2.11657907
2019,Middle income,MIC,10,3.85898006,14.15939045,2.064463668
2020,Middle income,MIC,10,3.803063393,13.67755381,2.025388651
2016,Moldova,MDA,9,5.608449936,18.62162971,2.549802797
2017,Moldova,MDA,12,5.618440151,18.43283081,2.715684071
2018,Moldova,MDA,12,5.439730167,17.56772995,2.633936381
2019,Moldova,MDA,12,6.104579926,19.46438026,2.85357358
2020,Moldova,MDA,12,6.269956589,19.74529711,2.896006978
2016,Monaco,MCO,11,1.370929956,6.596549988,1.271618425
2017,Monaco,MCO,11,1.457929969,6.980629921,1.309045494
2018,Monaco,MCO,11,1.22541666,5.551696777,1.183294448
2019,Monaco,MCO,11,1.152660012,5.029270172,1.139132459
2020,Monaco,MCO,11,1.079903364,4.506843567,1.09497047
2016,Mongolia,MNG,12,5.18061018,13.06311035,2.307650502
2017,Mongolia,MNG,12,4.088590145,12.64562035,2.119335514
2018,Mongolia,MNG,12,6.173019886,20.48335075,2.928835569
2019,Mongolia,MNG,12,4.940889835,16.53417969,2.49403918
2020,Mongolia,MNG,12,4.860983054,16.42383003,2.475158718
2016,Montenegro,MNE,9,0,0,0.529411765
2017,Montenegro,MNE,9,0,0,0.529411765
2018,Montenegro,MNE,9,0,0,0.529411765
2019,Montenegro,MNE,9,0,0,0.529411765
2020,Montenegro,MNE,9,0,0,0.529411765
2016,Morocco,MAR,9,0,4.685219765,0.828889362
2017,Morocco,MAR,9,0,5.116839886,0.856478368
2018,Morocco,MAR,9,0,5.356780052,0.871815259
2019,Morocco,MAR,9,0,5.980080128,0.911656381
2020,Morocco,MAR,9,0,6.411700249,0.939245387
2016,Mozambique,MOZ,0,5.865039825,19.94601059,2.143022694
2017,Mozambique,MOZ,0,5.505559921,18.36519051,1.988770845
2018,Mozambique,MOZ,0,5.452189922,16.72156906,1.875811882
