Year,Country_Name,Country_Code,Compulsory_education_duration_years,Government_expenditure_on_education_total,"Government expenditure on education, total (% of government expenditure)",Weighted World Education
2020,"Bahamas, The",BHS,12,2.510879993,11.24431038,1.796248424
2016,Bahrain,BHR,9,2.324520111,7.223849773,1.335208405
2017,Bahrain,BHR,9,2.324520111,7.223849773,1.335208405
2018,Bahrain,BHR,9,2.324520111,7.223849773,1.335208405
2019,Bahrain,BHR,9,2.324520111,7.223849773,1.335208405
2020,Bahrain,BHR,9,2.324520111,7.223849773,1.335208405
2016,Bangladesh,BGD,5,1.535539985,11.41928005,1.251308279
2017,Bangladesh,BGD,5,1.465800007,16.05497932,1.537298376
2018,Bangladesh,BGD,5,1.39606003,11.68148041,1.247423696
2019,Bangladesh,BGD,5,1.326320052,9.273750305,1.083200267
2020,Bangladesh,BGD,5,1.256580075,11.8447504,1.23721552
2016,Barbados,BRB,11,4.707320213,13.36244965,2.197909295
2017,Barbados,BRB,11,4.366380215,12.87915039,2.11655467
2018,Barbados,BRB,11,5.428860188,16.3585701,2.496214921
2019,Barbados,BRB,11,3.203989983,10.77849007,1.810236582
2020,Barbados,BRB,11,4.295159817,16.14246941,2.314603588
2016,Belarus,BLR,9,4.946549892,12.1587801,2.038732332
2017,Belarus,BLR,9,4.794990063,12.28168964,2.024156395
2018,Belarus,BLR,9,5.381110191,13.26403999,2.173699141
2019,Belarus,BLR,9,4.97947979,13.23215008,2.112215695
2020,Belarus,BLR,9,4.952449799,12.89661026,2.086767417
2016,Belgium,BEL,12,6.461730003,12.16495037,2.439858142
2017,Belgium,BEL,12,6.425340176,12.35070992,2.446345792
2018,Belgium,BEL,12,6.376639843,12.22383976,2.431028192
2019,Belgium,BEL,12,6.334094763,12.25328445,2.426613217
2020,Belgium,BEL,12,6.291549683,12.28272915,2.422198241
2016,Belize,BLZ,8,7.29365015,20.50201988,2.86059853
2017,Belize,BLZ,8,7.45028019,21.65851021,2.957703695
2018,Belize,BLZ,8,7.472270012,22.11375046,2.99005719
2019,Belize,BLZ,8,7.138390064,22.09441948,2.939404208
2020,Belize,BLZ,8,7.94095993,21.52098083,3.021538054
2016,Benin,BEN,6,2.899100065,18.79140091,1.983174816
2017,Benin,BEN,6,3.535589933,19.87965012,2.146941773
2018,Benin,BEN,6,2.933969975,17.70918083,1.919160762
2019,Benin,BEN,6,2.965199947,17.16807079,1.889195527
2020,Benin,BEN,6,2.987233241,16.62696075,1.857869098
2016,Bermuda,BMU,13,1.324959993,7.773469925,1.457689808
2017,Bermuda,BMU,13,1.324959993,7.773469925,1.457689808
2018,Bermuda,BMU,13,1.324959993,7.773469925,1.457689808
2019,Bermuda,BMU,13,1.324959993,7.773469925,1.457689808
2020,Bermuda,BMU,13,1.324959993,7.773469925,1.457689808
2016,Bhutan,BTN,0,6.993330002,24.64319992,2.610262875
2017,Bhutan,BTN,0,7.225739956,23.45727921,2.568858087
2018,Bhutan,BTN,0,6.850840092,21.87844086,2.412450611
2019,Bhutan,BTN,0,6.779595137,20.38315964,2.306327843
2020,Bhutan,BTN,0,6.708350182,15.78534031,2.001891931
