Year,Country_Name,Country_Code,Current_GDP,GDP_growth_annual,GDP_per_capita,Land_area,Weighted_gdp
2017,Azerbaijan,AZE,40865558912,0.2,4147.089716,82662,7.539640802
2018,Azerbaijan,AZE,47112941176,1.5,4739.84171,82654,13.68522012
2019,Azerbaijan,AZE,48174235294,2.5,4805.753718,82654,17.79078535
2020,Azerbaijan,AZE,42607176471,-4.3,4221.407478,82654,-10.34072121
2016,"Bahamas, The",BHS,11992600000,0.091146924,31732.91914,10010,50.63390687
2017,"Bahamas, The",BHS,12359700000,1.625011976,32376.50917,10010,57.78873144
2018,"Bahamas, The",BHS,12837800000,2.76704081,33290.02814,10010,63.80369501
2019,"Bahamas, The",BHS,13164400000,0.702459097,33799.41769,10010,56.35221729
2020,"Bahamas, The",BHS,9907500000,-14.5144814,25194.02514,10010,-18.1435008
2016,Bahrain,BHR,32234973404,3.558128119,22608.45256,779,50.0646959
2017,Bahrain,BHR,35473776596,4.290949778,23742.93734,780,54.79582263
2018,Bahrain,BHR,37801462766,2.136701347,24085.95599,780,46.72456133
2019,Bahrain,BHR,38652579787,2.141376784,23551.93009,780,45.89875408
2020,Bahrain,BHR,34729228723,-5.085180213,20409.9528,780,12.01360185
2016,Bangladesh,BGD,2.21415E+11,7.113478213,1401.564635,130170,31.12607683
2017,Bangladesh,BGD,2.49711E+11,7.284174423,1563.767819,130170,32.09797798
2018,Bangladesh,BGD,2.74039E+11,7.86375358,1698.132081,130170,34.65680478
2019,Bangladesh,BGD,3.02571E+11,8.152684149,1855.740094,130170,36.09463841
2020,Bangladesh,BGD,3.23057E+11,3.509135882,1961.613749,130170,17.71146068
2016,Barbados,BRB,4830000000,2.478698683,16900.04829,430,36.67748082
2017,Barbados,BRB,4978000000,0.475110679,17391.66891,430,29.44164183
2018,Barbados,BRB,5086500000,-0.580333154,17745.25537,430,25.77979586
2019,Barbados,BRB,5209000000,-0.096135553,18148.49785,430,28.35514804
2020,Barbados,BRB,4418000000,-18.9795097,15373.8547,430,-51.5721247
2016,Belarus,BLR,47722657821,-2.526446436,5039.681886,202988,-1.759965125
2017,Belarus,BLR,54726595249,2.5321835,5785.670673,202990,19.66362097
2018,Belarus,BLR,60031262269,3.149197594,6360.062473,202980,23.04710878
2019,Belarus,BLR,64409647194,1.4,6837.717826,202980,16.8115523
2020,Belarus,BLR,60258239056,-0.9,6424.152176,202980,6.952045763
2016,Belgium,BEL,4.7574E+11,1.266686409,41984.10303,30280,72.12673246
2017,Belgium,BEL,5.01523E+11,1.619580278,44089.31009,30280,76.90075932
2018,Belgium,BEL,5.43008E+11,1.819203664,47519.5531,30280,83.17746038
2019,Belgium,BEL,5.35289E+11,2.149559681,46591.49161,30280,83.0207424
2020,Belgium,BEL,5.21861E+11,-5.65965987,45159.34822,30280,49.50113125
2016,Belize,BLZ,1789304088,-0.033233632,4856.973249,22810,7.593874078
2017,Belize,BLZ,1858529677,1.813682033,4945.857699,22810,15.12233951
2018,Belize,BLZ,1915899787,2.906069731,5001.422157,22810,19.57992662
2019,Belize,BLZ,1982518541,1.762797913,5078.809944,22810,15.12943738
2020,Belize,BLZ,1636280797,-14.01053215,4115.177008,22810,-49.48992201
2016,Benin,BEN,11821066153,3.339673426,1087.287331,112760,15.26714377
2017,Benin,BEN,12701654743,5.671555469,1136.593872,112760,24.67374069
2018,Benin,BEN,14262407012,6.697259461,1241.825298,112760,28.94494357
2019,Benin,BEN,14391686633,6.865687336,1219.515506,112760,29.58348138
2020,Benin,BEN,15651545332,3.8487924,1291.040972,112760,17.63058096
2016,Bermuda,BMU,6899911000,-0.657206304,106885.8785,54,166.6030876
2017,Bermuda,BMU,7142316000,3.611419837,111820.5815,54,191.4905935
2018,Bermuda,BMU,7224329000,-0.4328013,113023.1856,54,177.2177906
2019,Bermuda,BMU,7484113000,0.459889943,117098.4463,54,187.2408899
2020,Bermuda,BMU,6842700000,-6.344080246,107079.4798,54,144.1620401
2016,Bhutan,BTN,2158972129,8.127033538,2930.574923,38144,37.20904958
2017,Bhutan,BTN,2450364928,4.651834675,3286.596744,38144,23.87224805
2018,Bhutan,BTN,2446866405,3.055129837,3243.477437,38140,17.41715116
2019,Bhutan,BTN,2535657069,5.755169995,3322.863329,38140,28.34309859
2020,Bhutan,BTN,2315437338,-10.07634112,3000.779327,38140,-35.49312747
2016,Bolivia,BOL,33941126200,4.263920838,3076.65644,1083300,23.63264118
2017,Bolivia,BOL,37508642165,4.195206301,3351.124344,1083300,23.79640033
2018,Bolivia,BOL,40287647930,4.223623511,3548.59078,1083300,24.22587569
2019,Bolivia,BOL,40895322844,2.216705778,3552.068143,1083300,16.20440413
2020,Bolivia,BOL,36572764863,-8.82949362,3133.099803,1083300,-28.64864909
2016,Bosnia and Herzegovina,BIH,16914287349,3.149806916,4994.971551,51200,20.60548182
2017,Bosnia and Herzegovina,BIH,18079075771,3.171434875,5394.268944,51200,21.32549976
2018,Bosnia and Herzegovina,BIH,20177409351,3.740071092,6070.349081,51200,24.67282502
2019,Bosnia and Herzegovina,BIH,20201323260,2.831002603,6119.762345,51200,21.11481048
2020,Bosnia and Herzegovina,BIH,19946496563,-3.196950134,6079.738285,51200,-3.060658393
2016,Botswana,BWA,15082578065,7.036896951,6982.917492,566730,40.09249538
2017,Botswana,BWA,16088437675,4.00344974,7296.092142,566730,28.45567983
2018,Botswana,BWA,16914245098,3.98039539,7503.878588,566730,28.69337731
2019,Botswana,BWA,16593720656,2.992737635,7203.064221,566730,24.26612469
2020,Botswana,BWA,15061922802,-8.492893511,6404.899932,566730,-22.9418195
2016,Brazil,BRA,1.79569E+12,-3.275916906,8710.06329,8358140,15.59987985
2017,Brazil,BRA,2.06351E+12,1.322869054,9928.675897,8358140,36.23020032
2018,Brazil,BRA,1.91693E+12,1.783666761,9151.381732,8358140,36.6753719
2019,Brazil,BRA,1.87782E+12,1.411152985,8897.552966,8358140,34.73878804
2020,Brazil,BRA,1.44473E+12,-4.059048273,6796.844542,8358140,9.037521161
2016,Brunei Darussalam,BRN,11400854268,-2.477917718,27158.40565,5270,33.10721272
2017,Brunei Darussalam,BRN,12128104859,1.328602552,28571.60829,5270,50.57153617
2018,Brunei Darussalam,BRN,13567351175,0.052237791,31628.47626,5270,50.30741776
2019,Brunei Darussalam,BRN,13469422959,3.869109865,31085.96193,5270,64.71587423
2020,Brunei Darussalam,BRN,12005825770,1.133573351,27442.95383,5270,48.00437046
2016,Bulgaria,BGR,53953897624,3.039825276,7569.478815,108560,24.3721425
2017,Bulgaria,BGR,59199447421,2.76217096,8366.293221,108560,24.52904866
2018,Bulgaria,BGR,66363422450,2.684576131,9446.700772,108560,25.93737413
2019,Bulgaria,BGR,68915416142,4.037592082,9879.268533,108560,32.03720252
2020,Bulgaria,BGR,69889347433,-4.387149834,10079.20338,108560,-1.344111923
2016,Burkina Faso,BFA,12833363370,5.957976708,688.2506963,273600,25.35727851
2017,Burkina Faso,BFA,14106956830,6.203489411,734.996268,273600,26.4147923
2018,Burkina Faso,BFA,15890065020,6.604569068,804.5005378,273600,28.13118779
2019,Burkina Faso,BFA,16178162030,5.688115149,796.1152068,273600,24.45242528
2020,Burkina Faso,BFA,17933606353,1.93032489,857.9327297,273600,9.521139693
2016,Burundi,BDI,2732808557,-0.600020001,260.5652208,25680,-1.944906056
2017,Burundi,BDI,2748180474,0.500009999,253.8263541,25680,2.444562381
2018,Burundi,BDI,2668495743,1.609933082,238.783467,25680,6.860347505
2019,Burundi,BDI,2631434363,1.842476677,228.2135892,25680,7.773745109
2020,Burundi,BDI,2841786382,0.297577119,238.9907259,25680,1.611449682
2016,Cabo Verde,CPV,1662998678,4.705791509,3130.998753,4030,23.78832967
2017,Cabo Verde,CPV,1768319144,3.702039188,3289.902203,4030,20.02501991
2018,Cabo Verde,CPV,1966503223,4.531161684,3616.464537,4030,23.85875651
2019,Cabo Verde,CPV,1981845741,5.66775246,3603.775241,4030,28.38504718
2020,Cabo Verde,CPV,1703698677,-14.78340501,3064.272388,4030,-54.2740525
2016,Cambodia,KHM,20016747754,6.933313973,1269.591499,176520,30.03781797
2017,Cambodia,KHM,22177200512,6.996903699,1385.260066,176520,30.47777293
2018,Cambodia,KHM,24571753583,7.469169207,1512.126989,176520,32.57042782
2019,Cambodia,KHM,27089389787,7.054106932,1643.121389,176520,31.12044685
2020,Cambodia,KHM,25808561551,-3.147589098,1543.669258,176520,-9.845254628
2016,Cameroon,CMR,33814337900,4.535794236,1413.255957,472710,21.14677698
