Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score
Austria,AUT,2019.0,1.557738,1.527737,0.9167479,1.459237,1.904162,1.338795
Austria,AUT,2020.0,1.509674,1.655057,0.851911,1.401355,1.810441,1.398979
Azerbaijan,AZE,2016.0,-0.8383624,-0.165814,-0.8038791,-0.2820228,-0.5200193,-1.561036
Azerbaijan,AZE,2017.0,-0.8853079,-0.1726412,-0.7479199,-0.2449824,-0.5575179,-1.563684
Azerbaijan,AZE,2018.0,-0.8364836,-0.158052,-0.7067598,-0.1973939,-0.587534,-1.511334
Azerbaijan,AZE,2019.0,-0.8379928,-0.1401703,-0.6859124,-0.2269891,-0.5771515,-1.529508
Azerbaijan,AZE,2020.0,-1.048197,-0.1702325,-0.7252154,-0.3147717,-0.6910434,-1.545741
"Bahamas, The",BHS,2016.0,1.108086,0.7191967,0.9754187,0.2575893,0.2602585,0.8521555
"Bahamas, The",BHS,2017.0,1.176681,0.5790182,0.9895855,0.1230418,0.1914401,0.8495829
"Bahamas, The",BHS,2018.0,1.131582,0.5372647,0.8628951,0.1802535,0.0970907,0.7648554
"Bahamas, The",BHS,2019.0,1.137568,0.4858155,0.8162377,-0.0482854,0.0764876,0.9062235
"Bahamas, The",BHS,2020.0,1.137461,0.4521627,0.849964,0.0138412,0.0620066,0.9186843
Bahrain,BHR,2016.0,-0.0157671,0.3275663,-0.7934257,0.6082391,0.4563531,-1.372085
Bahrain,BHR,2017.0,-0.1390255,0.1955773,-0.9615637,0.4164841,0.4492349,-1.387303
Bahrain,BHR,2018.0,-0.1461672,0.1777807,-0.8504526,0.4166367,0.4128062,-1.421445
Bahrain,BHR,2019.0,-0.0096477,0.2984906,-0.6273595,0.4851534,0.4944274,-1.429295
Bahrain,BHR,2020.0,-0.0655486,0.4287471,-0.5911913,0.6258294,0.491358,-1.457495
Bangladesh,BGD,2016.0,-0.8569472,-0.678781,-1.261937,-0.7966801,-0.6636689,-0.5838786
Bangladesh,BGD,2017.0,-0.8317032,-0.7350984,-1.256081,-0.8055848,-0.6718881,-0.6150656
Bangladesh,BGD,2018.0,-0.8999589,-0.7402487,-0.9956784,-0.8343157,-0.6409807,-0.747334
Bangladesh,BGD,2019.0,-0.9934731,-0.7402849,-0.9329753,-0.9290726,-0.6363772,-0.7418209
Bangladesh,BGD,2020.0,-0.9782742,-0.7878783,-0.9173985,-0.9019138,-0.5731802,-0.7691441
Barbados,BRB,2016.0,1.257388,1.081779,0.9766099,0.4810649,0.7951409,1.085793
Barbados,BRB,2017.0,1.424147,0.8445573,0.9668277,0.4947271,0.660408,1.113587
Barbados,BRB,2018.0,1.411714,0.4250214,0.9134325,0.5435893,0.3950066,1.091533
Barbados,BRB,2019.0,1.196289,0.6311362,1.049227,0.4123509,0.3570479,1.102872
Barbados,BRB,2020.0,1.22592,0.4893115,1.129196,0.4801968,0.3377488,1.131755
Belarus,BLR,2016.0,-0.2569613,-0.478073,0.1422815,-0.9412614,-0.7162234,-1.339445
Belarus,BLR,2017.0,-0.2574071,-0.3413015,-0.0534834,-0.7347551,-0.8187015,-1.356029
Belarus,BLR,2018.0,-0.1850613,-0.295147,0.3480572,-0.6494673,-0.830292,-1.366688
Belarus,BLR,2019.0,-0.0375447,-0.1843532,0.3323891,-0.5432242,-0.7943493,-1.407983
Belarus,BLR,2020.0,-0.1682376,-0.7293182,-0.7303549,-0.649549,-0.9959167,-1.458824
Belgium,BEL,2016.0,1.574584,1.433041,0.4413673,1.340684,1.429943,1.377026
Belgium,BEL,2017.0,1.447792,1.278846,0.4281858,1.24688,1.358459,1.338482
Belgium,BEL,2018.0,1.466163,1.261865,0.4023501,1.268156,1.376737,1.318997
Belgium,BEL,2019.0,1.485347,1.148132,0.4737775,1.291109,1.37409,1.310243
Belgium,BEL,2020.0,1.478052,1.124299,0.5905626,1.350718,1.36892,1.283182
Belize,BLZ,2016.0,-0.2427203,-0.6760404,0.0606221,-0.5123594,-0.8639369,0.57083
Belize,BLZ,2017.0,-0.298598,-0.7029624,0.0357257,-0.5466834,-0.8768259,0.5706139
Belize,BLZ,2018.0,-0.1370772,-0.5964406,0.0031797,-0.6500763,-0.8238621,0.4223617
Belize,BLZ,2019.0,-0.1957777,-0.6776266,0.0630389,-0.5444132,-0.7752398,0.5056173
Belize,BLZ,2020.0,-0.1919857,-0.6464335,0.5117432,-0.5378277,-0.7596992,0.5281408
Benin,BEN,2016.0,-0.5133145,-0.5643299,-0.0020272,-0.5278944,-0.6087622,0.4098547
Benin,BEN,2017.0,-0.561516,-0.6468335,0.0308955,-0.4710597,-0.6260697,0.3822365
Benin,BEN,2018.0,-0.3887573,-0.5638022,-0.1411756,-0.3385929,-0.6733479,0.2402929
Benin,BEN,2019.0,-0.3385691,-0.4411183,-0.412668,-0.3760342,-0.6637715,0.0680906
Benin,BEN,2020.0,-0.0392984,-0.2638812,-0.4397532,-0.3722045,-0.7278787,-0.0771749
Bermuda,BMU,2016.0,1.228804,1.328458,0.9996701,0.8714429,0.8654476,..
Bermuda,BMU,2017.0,1.245126,1.389179,1.001911,0.844159,0.8736399,..
Bermuda,BMU,2018.0,1.239041,1.386165,1.152475,0.8234454,0.876514,..
Bermuda,BMU,2019.0,1.234696,1.361957,1.065074,0.8463107,0.8455459,..
Bermuda,BMU,2020.0,1.314374,1.543409,1.014357,0.9409034,0.6886193,..
Bhutan,BTN,2016.0,1.126535,0.5002068,1.123297,-0.6651375,0.4934784,-0.0259183
Bhutan,BTN,2017.0,1.553321,0.5571043,1.11713,-0.3313459,0.611513,0.0109287
Bhutan,BTN,2018.0,1.640953,0.3601472,1.093906,-0.3448173,0.5493638,0.0348506
Bhutan,BTN,2019.0,1.61838,0.3124391,1.082096,-0.3273374,0.5903587,0.074758
Bhutan,BTN,2020.0,1.648439,0.3731863,1.021578,-0.3105174,0.5941438,0.1519855
Bolivia,BOL,2016.0,-0.7242584,-0.567202,-0.2488664,-0.9240948,-1.200806,-0.036425
Bolivia,BOL,2017.0,-0.6587374,-0.3853793,-0.2780288,-0.8970232,-1.20487,-0.0246515
Bolivia,BOL,2018.0,-0.6176781,-0.3178463,-0.2871185,-0.9072621,-1.145215,-0.0648267
Bolivia,BOL,2019.0,-0.7382592,-0.6993221,-0.7300857,-0.9934214,-1.121446,-0.1143257
Bolivia,BOL,2020.0,-0.7563663,-0.5620455,-0.4676746,-1.023997,-1.151606,-0.0706577
Bosnia and Herzegovina,BIH,2016.0,-0.4563362,-0.3936032,-0.3978388,-0.1666478,-0.2168469,-0.1312022
Bosnia and Herzegovina,BIH,2017.0,-0.5174395,-0.4826643,-0.3482373,-0.1488003,-0.2151614,-0.205798
Bosnia and Herzegovina,BIH,2018.0,-0.5669701,-0.6150292,-0.3955997,-0.2157231,-0.2342353,-0.2659763
Bosnia and Herzegovina,BIH,2019.0,-0.6089352,-0.6344742,-0.4187543,-0.1947562,-0.2334548,-0.2430984
Bosnia and Herzegovina,BIH,2020.0,-0.6038762,-0.9751914,-0.5145728,-0.2324903,-0.3060572,-0.323984
Botswana,BWA,2016.0,0.9299284,0.5295248,0.99456,0.5284874,0.5337085,0.3967459
Botswana,BWA,2017.0,0.7879916,0.4318962,1.022508,0.464981,0.5090616,0.3884281
Botswana,BWA,2018.0,0.7478711,0.3329532,0.9709879,0.4491354,0.46531,0.4475507
Botswana,BWA,2019.0,0.6905257,0.4282575,1.111055,0.3692842,0.4989015,0.4999618
Botswana,BWA,2020.0,0.6290125,0.2567992,1.088047,0.4159909,0.4405316,0.4944413
Brazil,BRA,2016.0,-0.3813246,-0.1739778,-0.3772054,-0.2073155,-0.1573322,0.4518494
Brazil,BRA,2017.0,-0.4959317,-0.2328486,-0.4738646,-0.1500317,-0.2469499,0.4480156
Brazil,BRA,2018.0,-0.398966,-0.4497755,-0.4404235,-0.3271396,-0.2524796,0.3602512
Brazil,BRA,2019.0,-0.3365895,-0.1869027,-0.7137882,-0.1784509,-0.1806352,0.2974658
Brazil,BRA,2020.0,-0.3424238,-0.4470313,-0.4216979,-0.1616535,-0.1758137,0.2610505
Brunei Darussalam,BRN,2016.0,0.5684822,1.083784,1.154172,0.5933974,0.5616808,-0.9010094
Brunei Darussalam,BRN,2017.0,0.7151719,1.146735,1.160305,0.7176718,0.6497172,-0.9486977
Brunei Darussalam,BRN,2018.0,0.7959561,1.251249,1.24136,0.6864314,0.6293485,-0.8626922
Brunei Darussalam,BRN,2019.0,0.8022829,1.317982,1.108799,0.6345204,0.6143432,-0.9679027
Brunei Darussalam,BRN,2020.0,1.28122,1.438427,1.123706,0.9141998,0.9311345,-0.9322214
Bulgaria,BGR,2016.0,-0.2129944,0.2084756,0.0773333,0.6585177,-0.1051676,0.4021857
Bulgaria,BGR,2017.0,-0.1534974,0.1928596,0.3320499,0.6258183,-0.0883203,0.4298145
Bulgaria,BGR,2018.0,-0.1452328,0.2030701,0.4562779,0.5865343,-0.0698142,0.3566663
Bulgaria,BGR,2019.0,-0.1399162,0.2633897,0.578861,0.5311002,-0.0063268,0.3556397
Bulgaria,BGR,2020.0,-0.2723222,-0.0722199,0.472481,0.5189232,-0.0870779,0.2600734
Burkina Faso,BFA,2016.0,-0.1479759,-0.5643083,-0.8673759,-0.3973829,-0.4414265,0.0144986
Burkina Faso,BFA,2017.0,-0.1169276,-0.5780835,-0.9269773,-0.4423672,-0.4012339,0.0655461
Burkina Faso,BFA,2018.0,-0.1132987,-0.5778441,-1.059287,-0.3727933,-0.4453091,-0.0682887
Burkina Faso,BFA,2019.0,-0.2000552,-0.7587574,-1.302387,-0.3765482,-0.4261681,-0.2027513
Burkina Faso,BFA,2020.0,-0.1011696,-0.6695253,-1.551598,-0.4172661,-0.4181253,-0.1711518
Burundi,BDI,2016.0,-1.245538,-1.441691,-1.970721,-0.8252589,-1.460521,-1.555504
Burundi,BDI,2017.0,-1.279798,-1.337151,-2.007869,-0.8344458,-1.390451,-1.575757
Burundi,BDI,2018.0,-1.436725,-1.414782,-1.571772,-0.9766567,-1.493813,-1.672381
Burundi,BDI,2019.0,-1.457849,-1.326445,-1.615159,-0.9489731,-1.432129,-1.723487
Burundi,BDI,2020.0,-1.52695,-1.259296,-1.411315,-1.01885,-1.316482,-1.53803
Cabo Verde,CPV,2016.0,0.8689511,0.1248046,0.8862156,-0.2960399,0.3474011,0.9791626
Cabo Verde,CPV,2017.0,0.8230366,0.1633043,0.7746384,-0.2038071,0.4034872,0.9681481
Cabo Verde,CPV,2018.0,0.7616211,0.320989,0.8458232,-0.2403039,0.4441875,0.9661335
Cabo Verde,CPV,2019.0,0.8325423,0.292097,0.8739426,-0.2246151,0.5158916,0.9407284
Cabo Verde,CPV,2020.0,0.8279572,0.2471965,0.8807942,-0.0660532,0.4879067,0.917582
Cambodia,KHM,2016.0,-1.272752,-0.6942337,0.2110379,-0.4652204,-1.063893,-1.105392
Cambodia,KHM,2017.0,-1.289828,-0.659631,0.091222,-0.5016114,-1.053886,-1.154714
Cambodia,KHM,2018.0,-1.311975,-0.5602662,0.1030418,-0.5016222,-1.112072,-1.236658
Cambodia,KHM,2019.0,-1.279862,-0.58005,-0.0894939,-0.5689112,-0.9357082,-1.220296
