Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2020,Caribbean small states,CSS,66039332389.2884,-8.1613049889538,8873.52192883729,..,..,..,..,404850,..,..
2017,Cayman Islands,CYM,5166467298.69195,3.18404337595337,81513.1630224977,..,81.06769325,..,..,240,..,..
2018,Cayman Islands,CYM,5522625585.0234,4.19434090986198,86059.7392168454,..,..,..,..,240,..,..
2016,Cayman Islands,CYM,4909498979.9592,3.23997688772937,78471.6287315261,..,79,..,..,240,..,..
2020,Cayman Islands,CYM,5591623664.9466,-6.73028742811069,85082.5268555478,..,..,..,..,240,..,..
2019,Cayman Islands,CYM,5935769350.77403,3.81710040387819,91392.6425875166,..,..,..,..,240,..,..
2018,Central African Republic,CAF,2220978978.17342,3.78944359275462,475.953813864813,..,..,2.24304347279498,1.34851085661626,622980,52.805,1.43304053959819
2020,Central African Republic,CAF,2380087758.04137,0.829010003307488,492.79587119399,..,..,..,..,622980,..,1.87214862651686
2016,Central African Republic,CAF,1825018190.85071,4.75031684122342,402.191645130502,..,4,1.18444402561018,0.688369241293243,622980,51.593,1.52833263216835
2019,Central African Republic,CAF,2220307368.69593,3,467.908032277798,..,..,..,..,622980,53.283,1.91552922883814
2017,Central African Republic,CAF,2072349794.23301,4.52727821346231,450.900657858547,..,..,2.11186667943684,1.3253701360503,622980,52.24,1.43596760684367
2016,Central Europe and the Baltics,CEB,1321405910582.08,3.07034125940633,12829.8963422228,..,71.3419807922689,4.61302806405997,4.68115908782702,1106354,76.9698114171911,1.48038006994128
2018,Central Europe and the Baltics,CEB,1645327230573.33,4.49118634919611,16045.9536352205,..,75.9821372719383,3.40354719221428,3.4773544848107,1106266.4,76.9768226818402,1.64398524297881
2020,Central Europe and the Baltics,CEB,1653247533863.81,-3.81394003319146,16168.1966521921,..,83.1302334250959,..,..,1106266.4,..,1.95603134930775
2017,Central Europe and the Baltics,CEB,1463917493520.8,4.87858329397797,14248.7481226245,..,73.4095673098879,4.21909917948419,4.07871700151684,1106329.1,76.9474426395729,1.51728342686555
2019,Central Europe and the Baltics,CEB,1673863310975.42,4.07215885667694,16346.5549412626,..,78.729487081111,3.07773321631042,3.14226340371042,1106266.4,77.1441029199518,1.75548533597101
2016,Chad,TCD,10097778353.7651,-6.25552708545281,693.449767448537,..,5,..,..,1259200,53.438,3.06847511920839
2019,Chad,TCD,11314951342.7807,3.24718191743429,709.54004317463,..,9.8,..,..,1259200,54.239,2.18715298621802
2018,Chad,TCD,11239167048.4916,2.37403780037786,726.151007088549,..,8,..,..,1259200,53.977,2.33946854618029
2020,Chad,TCD,10829076801.729,-0.947304885424217,659.270044977801,..,10.4,..,..,1259200,..,3.07840567425457
2017,Chad,TCD,10000395242.1457,-2.98869598553931,665.948884859102,..,6.49999812,..,..,1259200,53.712,2.23858924746686
2017,Channel Islands,CHI,..,..,..,..,..,..,..,198,82.766,..
2016,Channel Islands,CHI,..,..,..,..,..,..,..,198,82.6,..
2020,Channel Islands,CHI,..,..,..,..,..,..,..,198,..,..
2019,Channel Islands,CHI,..,..,..,..,..,..,..,198,83.086,..
2018,Channel Islands,CHI,..,..,..,..,..,..,..,198,82.928,..
2019,Chile,CHL,279385487344.492,0.942005306544473,14741.7144039936,..,..,3.8646397812309,4.12052662979072,743532,80.181,1.83738184105279
2017,Chile,CHL,277034675515.684,1.18454470657974,14998.8170563218,44.4,82.32748693,3.52524996602015,3.71807139372882,743532,79.909,1.93582929978579
2020,Chile,CHL,252940023046.007,-5.77150166878876,13231.7042069381,..,..,..,..,743532,..,1.85390740716162
2016,Chile,CHL,250440149690.846,1.71108928867041,13753.5921485096,..,83.55858602,3.43339645531196,3.64143238362122,743532,79.779,1.91538871988883
2018,Chile,CHL,297571693064.193,3.71385917709956,15888.144355397,..,..,4.04108623203162,4.12061874313739,743532,80.042,1.85963861836923
2017,China,CHN,12310409370894.2,6.94720079327288,8816.98690451989,..,54.3,..,3.11130144656867,9424700.8,76.47,1.74645507017874
2018,China,CHN,13894817549380.3,6.74977383247717,9905.34200389253,..,59.2,..,2.76221448223877,9424702.9,76.704,1.73953368321942
2020,China,CHN,14722730697890.1,2.3475135727457,10434.7751874839,..,70.64214286,..,..,9424702.9,..,1.74979577278881
2019,China,CHN,14279937467431,5.94971423273162,10143.8381719921,..,64.56912253,..,..,9424702.9,76.912,1.7278278625043
2016,China,CHN,11233276536744.7,6.84876220503246,8094.36336675194,38.5,53.2,..,2.92095458128791,9424700.5,76.21,1.77069571932743
2017,Colombia,COL,311883730690.129,1.35936086788746,6376.70671552601,49.7,62.25988032,10.6312806621825,11.1982643477404,1109500,76.925,3.20906243683398
2018,Colombia,COL,334198214706.209,2.56432428277704,6729.58333198168,50.4,64.12637682,10.0286666524878,10.9737571714099,1109500,77.109,3.06210551143266
2019,Colombia,COL,323429888934.257,3.28111680452643,6424.9794924083,51.3,65.00690072,10.4243530402472,11.2192690538509,1109500,77.287,3.14073396372243
2020,Colombia,COL,271437596293.843,-6.79575810693639,5334.55604233917,..,..,..,..,1109500,..,3.37576351907916
2016,Colombia,COL,282825009887.458,2.08738250162794,5870.77795724165,50.6,58.13649357,10.6098597819917,11.2733677695796,1109500,76.732,3.07113102611539
2018,Comoros,COM,1188797574.94753,3.64252501914828,1428.29046324322,..,..,..,..,1861,64.118,..
2017,Comoros,COM,1077439662.5798,3.81570211280726,1323.81484301294,..,8.478170295,..,..,1861,63.912,..
2016,Comoros,COM,1012835518.26037,3.3206800249451,1273.05095200255,..,7.938322771,..,..,1861,63.7,..
2020,Comoros,COM,1235400352.2931,-0.128835487587722,1420.66174747221,..,..,..,..,1861,..,..
2019,Comoros,COM,1192559739.37288,1.75532827980625,1401.54231196814,..,..,..,..,1861,64.321,..
2016,"Congo, Dem. Rep.",COD,37134799974.5225,2.39939891413687,471.318822463486,..,6.20997406,..,..,2267050,59.655,1.06610820875977
2018,"Congo, Dem. Rep.",COD,47146004586.6824,5.82112109989339,560.807358238634,..,11.7,..,..,2267050,60.368,0.623912514687135
2017,"Congo, Dem. Rep.",COD,38019265625.8845,3.72694765333267,467.07423172679,..,8.619904916,..,..,2267050,60.026,0.770467135721514
2019,"Congo, Dem. Rep.",COD,50400747050.496,4.38452888103882,580.716870645391,..,12.5,..,..,2267050,60.681,0.708059012807746
2020,"Congo, Dem. Rep.",COD,48716960860.0664,1.7354227636007,543.950392515803,..,..,..,..,2267050,..,0.749453965197063
2018,"Congo, Rep.",COG,13670036995.9959,-4.80535155732963,2606.6153307839,..,..,11.9380809910792,8.57362307143437,341500,64.29,2.50811727955521
2017,"Congo, Rep.",COG,11090177747.1315,-4.38253094681009,2169.99150353963,..,8.65,8.55555301162613,8.19756530280362,341500,63.954,4.20937535258866
2020,"Congo, Rep.",COG,10187122341.4051,-7.94444567858203,1846.13129708695,..,..,..,..,341500,..,3.38433055518262
2016,"Congo, Rep.",COG,10215989995.0073,-10.7832382686521,2050.99341477232,..,8.121949323,3.13995776842545,2.60217405446598,341500,63.556,6.44878239015513
2019,"Congo, Rep.",COG,12750339022.9512,-0.0868859566422202,2369.72949429109,..,..,..,..,341500,64.57,2.74829659857993
2019,Costa Rica,CRI,64072870931.603,2.25631507916432,12693.8279560372,48.2,81.20259644,13.8779020705344,16.0648544611622,51060,80.279,0
2018,Costa Rica,CRI,62420165099.7301,2.61590440443709,12485.423896168,48,73.47972844,11.914614721021,13.4677837752809,51060,80.095,0
2016,Costa Rica,CRI,58847016044.8244,4.20432325178332,12011.2227544354,48.7,65.88044919,10.1508188036572,11.0263284192798,51060,79.738,0
2020,Costa Rica,CRI,61846895120.7808,-4.06367653504677,12140.8541545754,..,80.53018608,..,..,51060,..,0
2017,Costa Rica,CRI,60516043590.1924,4.15769896287743,12225.5744931403,48.3,71.58166462,10.1179539144556,11.0172885301658,51060,79.914,0
2016,Cote d'Ivoire,CIV,47964234560.0514,7.17920782392478,2013.38144761651,..,41.20781493,9.36857438056189,9.84588005505329,318000,56.567,1.70746367287382
2020,Cote d'Ivoire,CIV,61348579465.1017,1.95833247878154,2325.72370502247,..,..,..,..,318000,..,1.32823997840976
2017,Cote d'Ivoire,CIV,51588158717.5348,7.35963808821695,2111.02655726645,..,43.83992085,8.32576662136964,9.70179628760793,318000,57.017,1.32959989389096
2019,Cote d'Ivoire,CIV,58539424929.7248,6.23170951305083,2276.3323939018,..,36.28895457,10.8052321314054,11.557699922265,318000,57.783,1.22748072946626
2018,Cote d'Ivoire,CIV,58011466450.8643,6.89028431967284,2314.05095836881,..,37.54653613,9.06305439484547,10.4969074239999,318000,57.422,1.41343544765218
2019,Croatia,HRV,62246206340.5469,3.48194560339674,15311.766903695,..,79.07978368,5.67624968509036,5.42836144180949,56590,78.4243902439025,1.64886746262036
2017,Croatia,HRV,56214427431.2,3.41409225965485,13629.289592247,30.4,67.09619204,6.80694156009533,6.61143084971111,56590,77.8268292682927,1.66530143649465
2018,Croatia,HRV,62247874948.8225,2.90000959900429,15227.5600968096,29.7,75.29462599,5.8943394017083,5.74321036895379,56590,78.0707317073171,1.57456380583892
2016,Croatia,HRV,52295158344.2544,3.53243223207443,12527.7398569824,30.9,72.69726967,7.62992269794316,7.63305243421438,56590,78.0219512195122,1.62188218108196
2020,Croatia,HRV,57203783203.0259,-8.09976125177539,14134.1626811193,..,78.32093274,..,..,56590,..,1.84894900060586
2019,Cuba,CUB,103428000000,-0.164839982463832,9125.8786794952,..,67.97080866,..,..,103800,78.802,..
2017,Cuba,CUB,96851000000,1.80905439941586,8541.21368643707,..,57.14840432,..,..,103800,78.662,2.87240323946139
2018,Cuba,CUB,100050000000,2.24848039303581,8824.19400843842,..,62.67892362,..,..,103800,78.726,2.87620737245072
2020,Cuba,CUB,107352000000,-10.9483409741617,9477.85287326771,..,..,..,..,103800,..,..
2016,Cuba,CUB,91370000000,0.513761467889907,8060.79659761513,..,42.97867519,..,..,104040,78.607,3.07218792501319
2018,Curacao,CUW,3127908044.69274,-2.16613107776222,19630.8934873019,..,..,..,..,444,..,..
2017,Curacao,CUW,3116610111.73184,-1.73976542028957,19457.5315232205,..,68.12721625,..,..,444,78.0170731707317,..
2016,Curacao,CUW,3122287932.96089,-0.986569701304816,19555.3658492891,..,61.85551074,..,..,444,77.719512195122,..
2019,Curacao,CUW,3101787709.49721,-3.39999992661213,19701.270377457,..,..,..,..,444,..,..
2020,Curacao,CUW,2595821708.81313,-18.4,16745.7243140176,..,..,..,..,444,..,..
2016,Cyprus,CYP,20953442550.3653,6.45455446625895,24605.9208328767,32.9,75.9002054,7.16425582964423,7.10445465741838,9240,80.513,1.41082573401925
2018,Cyprus,CYP,25522671232.8767,5.69284172448825,29334.1109348657,32.7,84.43358252,5.96509167003543,6.11926280995768,9240,80.828,1.78048570866271
2017,Cyprus,CYP,22870833709.8961,5.85254035493243,26608.8750916456,31.4,80.74318897,6.92180956320471,6.52580057376143,9240,80.672,1.58311130576663
2019,Cyprus,CYP,25758357774.5438,5.28318739627791,29206.0767190775,..,86.06362996,5.90115736419638,5.63923606078512,9240,80.982,1.60946680567817
2020,Cyprus,CYP,24612646487.7213,-5.2289880999943,27527.8453055825,..,90.80209879,..,..,9240,..,1.77894047811628
2017,Czech Republic,CZE,218628940951.675,5.16872430413071,20636.199952435,24.9,78.71917285,2.26434152685111,2.22412891959746,77210,78.9780487804878,0.956655421726352
2019,Czech Republic,CZE,252498032247.163,3.02947825716996,23660.1488068317,..,80.86694441,2.08950392060607,2.08352847229609,77200,79.1292682926829,1.16087761547545
2016,Czech Republic,CZE,196272068576.338,2.5372845203138,18575.2320271915,25.4,76.4811987,2.7034199554435,2.73985736089341,77220,79.0268292682927,0.996128102620186
2020,Czech Republic,CZE,245339322066.759,-5.79781387689806,22931.2745975622,..,81.33889705,..,..,77200,..,1.35484504251432
2018,Czech Republic,CZE,248950103352.137,3.19865610131447,23419.7356136502,25,80.68816754,2.22864975680624,2.1847540815787,77200,79.0292682926829,1.08885095047558
2020,Denmark,DNK,356084867685.639,-2.06212495876164,61063.3164304238,..,96.54914573,..,..,40000,..,1.44226813942392
2018,Denmark,DNK,356841216410.068,1.98953731496432,61591.9288698958,28.2,97.31920437,2.03074763447266,1.96732228498659,40000,80.9536585365854,1.27740222690715
2016,Denmark,DNK,313115929314.339,3.24595698524399,54663.9983719195,28.2,96.96778525,3.30485147450167,3.27952096278434,40000,80.8536585365854,1.14763761681092
2019,Denmark,DNK,347561349210.979,2.11466420842453,59775.7350964515,..,98.04643475,1.91728605908001,1.72229769066563,40000,81.2024390243903,1.30145491949088
2017,Denmark,DNK,332121063806.391,2.82173634129026,57610.0981801135,28.7,97.09936216,1.98267972769408,1.88287944752338,40000,81.1024390243903,1.13823325447046
2018,Djibouti,DJI,3012803457.10411,8.40766266610518,3141.86171059002,..,58,..,..,23180,66.582,..
2016,Djibouti,DJI,2603540256.91955,6.65265037178067,2802.16620395446,..,30.8,..,..,23180,65.064,..
2019,Djibouti,DJI,3324615549.09099,7.77049725726383,3414.9161775746,..,59,..,..,23180,67.112,..
2017,Djibouti,DJI,2751445573.68009,5.40309984307834,2914.35819688602,41.6,55.68140925,..,..,23180,65.893,..
2020,Djibouti,DJI,3384385216.71609,0.499999999999986,3425.48417585803,..,..,..,..,23180,..,..
2018,Dominica,DMA,550622222.222222,2.21430524078696,7687.46296348005,..,..,..,..,750,..,..
2016,Dominica,DMA,576229629.62963,2.55649491313986,8080.96862341186,..,67.03,..,..,750,..,..
2017,Dominica,DMA,519837037.037037,-6.79942797028076,7274.517730717,..,69.61966879,..,..,750,..,..
2020,Dominica,DMA,504214814.814815,-16.6049115377829,7003.85902147233,..,..,..,..,750,..,..
2019,Dominica,DMA,611537037.037037,7.57139159692866,8516.28003895161,..,..,..,..,750,..,..
2019,Dominican Republic,DOM,88941299733.5018,5.05216802016253,8282.11713050921,41.9,75.8,17.3163479273237,17.7447131891001,48310,74.081,0.689583104134605
2016,Dominican Republic,DOM,75704720189.5607,6.65920026269582,7280.88361041225,45.7,63.87086474,16.9820182337697,17.9197329582648,48310,73.471,0.63403055291349
2018,Dominican Republic,DOM,85555378042.8196,6.98252758458058,8050.64407623416,43.7,74.82204836,16.4867578909242,16.9978826829959,48310,73.892,0.693991110098086
2017,Dominican Republic,DOM,79997975621.8654,4.66670467732366,7609.35327534023,42.2,67.57124533,17.9124563946392,18.8613141363838,48310,73.689,0.6660634439633
2020,Dominican Republic,DOM,78844702329.0785,-6.72023937283404,7268.1969096591,..,..,..,..,48310,..,0.750479965269961
2018,Early-demographic dividend,EAR,11214753522578.3,3.66916267706256,3452.37858465588,..,31.5627785811707,10.239321513761,10.7111494149146,33317702.39,70.4832383376349,2.41140146942329
2019,Early-demographic dividend,EAR,11527336323652.6,2.29739483973366,3503.43973285427,..,44.2891189574936,10.2335200734128,9.55530955337015,33317702.39,70.7012013247764,2.30836074346368
2016,Early-demographic dividend,EAR,10307820454608.6,4.67794916350756,3257.3919152248,..,26.1048411747377,8.52958213673693,8.44990896057082,33317975.039,70.0112350713132,2.44174159267662
2020,Early-demographic dividend,EAR,10668243564848.3,-4.50556099273764,3201.65253167346,..,..,..,..,33317702.39,..,2.5095185329434
2017,Early-demographic dividend,EAR,11137608724945.9,4.56016306137761,3473.4628607271,..,29.1176622269213,8.68664365635074,8.92078834382704,33317660.999,70.254234698029,2.45913096649754
2016,East Asia & Pacific,EAS,22720684963608.3,4.65861690439917,9845.91417467033,..,53.7689940652456,4.80089176961271,4.25667497186591,24502823.4,75.6378548577114,1.61204557671482
2019,East Asia & Pacific,EAS,26981455514224.5,4.06404875788031,11478.0331318664,..,65.0173244029834,4.66608757785698,4.42511148830732,24502428.8,76.2652057372043,1.58784048242841
2018,East Asia & Pacific,EAS,26416317598842.3,4.73026527339759,11297.6018024587,..,60.8314329240341,5.44766632406584,4.41992277986026,24502428.8,76.0715886300775,1.58968184787693
2017,East Asia & Pacific,EAS,24268504216073,5.04825506555564,10442.859498698,..,54.6794255674623,5.00434177349225,4.40576090011047,24502555,75.8685854337845,1.6012086731658
2020,East Asia & Pacific,EAS,27097404937164.8,-0.133318686536555,11477.7925922681,..,69.909503552574,..,..,24502428.8,..,1.65518455984136
2017,East Asia & Pacific (IDA & IBRD countries),TEA,14800506807477.9,6.70280521513745,7210.91699438358,..,50.5133602280074,11.1405312072738,10.7073881505077,15899195.2,75.0402245010869,1.66309543158861
2020,East Asia & Pacific (IDA & IBRD countries),TEA,17426659793626.2,1.37830611448555,8346.03881045794,..,68.8636848780616,..,..,15899196.9,..,1.66277361634367
2018,East Asia & Pacific (IDA & IBRD countries),TEA,16553933355619.7,6.51554185271401,8012.14971049584,..,57.3356541833859,11.7304598670061,10.6580809881616,15899196.9,75.2562801026236,1.63578929879723
2019,East Asia & Pacific (IDA & IBRD countries),TEA,17113644754522.8,5.77583399723258,8235.58367678187,..,62.0417790899069,11.1113120641096,10.5302568793069,15899196.9,75.448435105141,1.62040299103835
2016,East Asia & Pacific (IDA & IBRD countries),TEA,13542946740899.4,6.57903501430917,6648.81244815453,..,49.0188192436337,9.90662792164312,9.67042421518533,15899484.9,74.7999565735269,1.68447391364203
2018,East Asia & Pacific (excluding high income),EAP,16574964993617.6,6.51550632848752,7924.23430084574,..,57.3356541833859,11.7304598670061,10.6580809881616,16019326.9,75.2176631582702,1.63578929879723
2016,East Asia & Pacific (excluding high income),EAP,13560237634379.5,6.57877649393856,6575.514120343,..,49.0188192436337,9.90662792164312,9.67042421518533,16019614.9,74.7620466808602,1.68447391364203
2019,East Asia & Pacific (excluding high income),EAP,17135404533968.4,5.77574914947532,8145.3454372488,..,62.0417790899069,11.1113120641096,10.5302568793069,16019326.9,75.4097032387878,1.62040299103835
2020,East Asia & Pacific (excluding high income),EAP,17448894596355.7,1.37857512990213,8254.67087102428,..,68.8636848780616,..,..,16019326.9,..,1.66277361634367
2017,East Asia & Pacific (excluding high income),EAP,14819322198962.2,6.70244130579927,7131.63134907767,..,50.5132965806594,11.1405312072738,10.7073881505077,16019325.2,75.0019150982619,1.66309543158861
2017,Ecuador,ECU,104295862000,2.36838652633651,6213.50312736888,44.7,..,..,..,248360,76.584,2.36126338358467
2018,Ecuador,ECU,107562008000,1.28929193290502,6295.93466163992,45.4,..,..,..,248360,76.8,2.35188715281228
2016,Ecuador,ECU,99937696000,-1.22638398463879,6060.09296156791,45,54.06292473,..,..,248360,76.365,2.51476680030726
2019,Ecuador,ECU,108108009000,0.0121051028476558,6222.52465327248,45.7,..,..,..,248360,77.01,2.23380196883409
2020,Ecuador,ECU,98808010000,-7.75012337710913,5600.38961495341,..,..,..,..,248360,..,2.41035152835116
2016,"Egypt, Arab Rep.",EGY,332441717791.411,4.34664345337812,3519.8732398108,..,41.24806709,..,..,995450,71.482,1.66660515243227
2019,"Egypt, Arab Rep.",EGY,303080865603.645,5.55768388791593,3019.09228346646,..,57.2828664,..,..,995450,71.99,1.18097179684711
2020,"Egypt, Arab Rep.",EGY,365252651278.852,3.5696694750486,3569.20684121108,..,71.9142004,..,..,995450,..,1.2241723725415
2018,"Egypt, Arab Rep.",EGY,249712999437.254,5.31412103746398,2537.12518504712,..,46.92433677,..,..,995450,71.825,1.24996619642133
2017,"Egypt, Arab Rep.",EGY,235733695652.174,4.18122100091018,2444.29038718448,31.5,44.95020425,..,..,995450,71.656,1.42203170028818
2016,El Salvador,SLV,24191430000,2.54592608601685,3805.99568574434,40,28.99707305,10.8750497835797,10.4674147523777,20720,72.644,1.02350295125175
2020,El Salvador,SLV,24638720000,-8.5813121584968,3798.63652082321,..,..,..,..,20720,..,1.50211813901968
2018,El Salvador,SLV,26020850000,2.43228758708827,4052.62477533742,38.6,43.8,11.3502844176432,11.0423974839724,20720,73.096,1.12802193173899
2017,El Salvador,SLV,24979190000,2.2466700387793,3910.25440332717,38,33.8207289,11.107340444545,10.8588684115556,20720,72.872,1.04446941634216
2019,El Salvador,SLV,26896660000,2.38258139815673,4167.73093878563,38.8,50.49119319,11.4745477492638,11.4369150131037,20720,73.317,1.17383053617263
2019,Equatorial Guinea,GNQ,11417278044.9859,-5.97893690507988,8419.9333361253,..,..,7.14307770547385,4.38082559831483,28050,58.735,1.3127343948189
2016,Equatorial Guinea,GNQ,11240808846.6928,-8.81641723219757,9250.31649333951,..,..,7.24684229763876,4.41663111807083,28050,57.713,1.23712338060854
2018,Equatorial Guinea,GNQ,13097012189.3995,-6.23655098228059,10005.6167917268,..,..,5.93311930156326,3.09323446559773,28050,58.402,1.07214133360045
2020,Equatorial Guinea,GNQ,10021856754.4944,-4.89335647440198,7143.23870497146,..,..,..,..,28050,..,..
2017,Equatorial Guinea,GNQ,12200913887.6419,-5.66750295706352,9667.8578009346,..,..,4.11531431069214,2.342422688851,28050,58.061,1.10036882579998
2017,Eritrea,ERI,..,..,..,..,1.30890698,..,..,101000,65.538,..
2018,Eritrea,ERI,..,..,..,..,..,..,..,101000,65.941,..
2020,Eritrea,ERI,..,..,..,..,..,..,..,101000,..,..
2019,Eritrea,ERI,..,..,..,..,..,..,..,101000,66.321,..
2016,Eritrea,ERI,..,..,..,..,1.17711872,..,..,101000,65.111,..
2020,Estonia,EST,30650285471.7215,-2.95106931268964,23027.0269956294,..,89.05828666,..,..,43470,..,2.30748738623167
2018,Estonia,EST,30474612057.4484,4.13381979831833,23052.3012559586,30.3,89.35700777,0.173641257162702,0.169779286926995,43470,78.2439024390244,2.00866586260145
2019,Estonia,EST,31045591753.4901,4.09634264397782,23397.1200148694,..,90.2289282,0.144926087695275,0.140882018596426,43470,78.4975609756098,2.02401882148264
2017,Estonia,EST,26857880621.935,5.79204467466494,20387.2831474612,30.4,88.10245687,0.231417642897397,0.224230876475509,43470,78.0926829268293,2.00773352126725
2016,Estonia,EST,24056487770.898,3.15556481438308,18282.9233927131,31.2,87.24023275,0.304059190189023,0.299786402188441,43470,77.6414634146342,2.05184437121569
2019,Eswatini,SWZ,4495679480.96886,2.61303529001997,3915.64346723669,..,..,..,..,17200,60.194,1.88614769713679
2020,Eswatini,SWZ,3972728948.47088,-1.85052471016712,3424.2822122311,..,..,..,..,17200,..,1.83670543778148
2017,Eswatini,SWZ,4402969225.92165,2.0265781557498,3914.41848379603,..,..,..,..,17200,58.319,1.9582016818068
2018,Eswatini,SWZ,4665420238.51784,2.37161052114132,4105.89368278939,..,..,..,..,17200,59.401,2.03576226988797
2016,Eswatini,SWZ,3816022046.82656,1.06261019342853,3425.53195692846,54.6,..,..,..,17200,56.962,2.09844266730789
2017,Ethiopia,ETH,81770791970.982,9.56418964295607,768.523015429372,..,18.61805145,4.20611286662888,4.59660538983931,1129279.999,65.872,0.666369217322697
2019,Ethiopia,ETH,95912590628.1412,8.3640856990789,855.760885186903,..,25,5.13832429004329,5.16530422150136,1129300.39,66.597,0.587739944074668
2018,Ethiopia,ETH,84269348327.3454,6.81614779681703,771.524866349431,..,22,4.6612403302757,4.96155789432289,1129300.39,66.24,0.639015280336255
2020,Ethiopia,ETH,107645054311.876,6.05661779202561,936.340461064749,..,..,..,..,1129300.39,..,0.481146129201597
2016,Ethiopia,ETH,74296618481.0882,9.43348265784402,717.124869806118,..,15.36692386,4.57051911671548,4.12609738010937,1129304.039,65.482,0.695462177224286
2018,Euro area,EMU,13692226055585.5,1.83262659092294,40038.1871666259,..,82.9839601463678,3.65337395204537,3.78591301521134,2682452.479,82.0598816959482,1.34187703219673
2016,Euro area,EMU,11964468804660.3,1.86454338873901,35139.8235851443,..,77.9684265346935,4.62817357015451,4.64383114898787,2678840.6,81.9545453224235,1.33486190669499
2020,Euro area,EMU,13021049031268.7,-6.39422105325941,37967.8018660437,..,..,..,..,2682452.479,..,1.53596009819465
2017,Euro area,EMU,12646241353753.9,2.6137045089319,37062.1403612769,..,79.6401081430677,4.22501411298778,4.13820667057948,2678829.05,81.9323163550777,1.33832037842029
2019,Euro area,EMU,13413568065812.5,1.56492999198312,39188.636538097,..,84.8261198477329,3.26178081203074,3.26896207632163,2682452.479,82.038548222566,1.3699403338165
2018,Europe & Central Asia,ECS,23217309660002.3,2.17278160128733,25290.3314474501,..,79.1767001396866,4.03760750233884,3.91463401307018,27447886.686,77.9103508580423,1.63992380393404
2019,Europe & Central Asia,ECS,22934004820241.6,1.80388818810944,24906.4367271277,..,82.0452596605969,3.73593887971743,3.69763332721135,27447886.686,78.0312773947859,1.7027189686818
2017,Europe & Central Asia,ECS,21648851652556.4,2.81859399224085,23670.0797144695,..,74.5288166597268,4.21909917948419,4.13820667057948,27454570.067,77.7886065200657,1.6523645110708
2016,Europe & Central Asia,ECS,20445552705800.9,1.96985721401302,22446.1687503424,..,72.4118969986926,4.34333576439359,4.49603777632014,27454601.387,77.5956873929039,1.70406917484423
2020,Europe & Central Asia,ECS,22121578723066.8,-5.58039775365077,23955.3051582784,..,86.2898965228575,..,..,27447886.686,..,1.87306932971118
2020,Europe & Central Asia (IDA & IBRD countries),TEC,3876733319266.95,-1.77685331143942,8387.39069310257,..,82.2056537322286,..,..,22989284.3,..,3.14831126582009
2019,Europe & Central Asia (IDA & IBRD countries),TEC,4153453159866.14,2.66222000159384,9013.79564853992,..,77.3697599174365,3.93978540540386,4.34657076863265,22989284.3,74.2980057170281,2.91271053321295
2017,Europe & Central Asia (IDA & IBRD countries),TEC,3912599713398.07,4.21147557379031,8562.50740041241,..,67.037188718603,4.29183776384987,4.55046814492334,23000146,73.9010184247019,2.8562841940294
2016,Europe & Central Asia (IDA & IBRD countries),TEC,3490782809413.07,1.96264117318951,7677.40046878136,..,63.4427161420041,4.61302806405997,4.89323116636986,23000133,73.5073904351252,3.23111688669074
2018,Europe & Central Asia (IDA & IBRD countries),TEC,4073645764077.81,3.50836061724958,8876.15396402873,..,73.476866420686,4.4885220079923,4.27748024077677,22989284.3,74.0394363300003,2.77032613551769
2020,Europe & Central Asia (excluding high income),ECA,3222403620453.33,-1.54396002239542,7668.52434410423,..,81.6822582637348,..,..,22626524.3,..,3.35010914606976
2017,Europe & Central Asia (excluding high income),ECA,3329876408661.55,4.12784422187281,8026.77331662083,..,66.2178135310452,4.21909917948419,4.55046814492334,22637366,73.5093179187941,3.03372527514124
2019,Europe & Central Asia (excluding high income),ECA,3493926388854.03,2.31442880725514,8343.55043110518,..,77.0549562814159,3.93978540540386,4.34657076863265,22626524.3,73.9353630083226,3.10106698049417
2016,Europe & Central Asia (excluding high income),ECA,2965857286860.64,1.75544557291076,7189.2864598437,..,62.4356268327276,4.15808051187906,4.28685732982915,22637353,73.0619024854879,3.47556587422234
2018,Europe & Central Asia (excluding high income),ECA,3423986143967.44,3.2279806247107,8213.36006618727,..,73.062121988097,4.4885220079923,4.27748024077677,22626524.3,73.675342555823,2.91746789011469
2020,European Union,EUU,15291934754441.6,-5.95562768447503,34148.9199001187,..,87.8660352532148,..,..,3999622.479,..,1.5622628407939
2018,European Union,EUU,15971540026258.9,2.06558235915733,35737.3012495528,..,81.7383731410436,3.65337395204537,3.78591301521134,3999622.479,81.0349054643915,1.35785550466102
2019,European Union,EUU,15689357247344.5,1.81694071519006,35083.8074854338,..,83.8442131392699,3.26178081203074,3.26896207632163,3999622.479,81.0638468173313,1.39414061826805
2016,European Union,EUU,13885155820999.3,2.00831914309254,31168.4360442414,..,76.8971749615496,4.57080954048404,4.64383114898787,3996050.6,80.9498646420543,1.33456121350815
2017,European Union,EUU,14734764528614.8,2.8136677326073,33023.7909043105,..,78.6838126546675,4.21909917948419,4.13820667057948,3996029.05,80.9308386443383,1.33973401665758
2016,Faroe Islands,FRO,2738832687.13698,..,56854.102653706,..,95.10868167,..,..,1396,82.0439024390244,..
