Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2018,Andorra,AND,3218316013.22626,1.58876549046354,41791.9698372411,..,..,..,..,470,..,..
2019,Andorra,AND,3155065487.51819,2.01554763848308,40897.3308728669,..,..,..,..,470,..,..
2017,Andorra,AND,3000180750.11297,0.346071889630295,38964.904478265,..,91.56746703,..,..,470,..,..
2018,Angola,AGO,101353230784.594,-2.00362972730201,3289.64399476678,51.3,35,27.5789180369583,19.5763853416872,1246700,60.782,1.87177586619642
2016,Angola,AGO,101123851090.455,-2.58004964404932,3506.07312818832,..,29,12.3007965356528,13.7020911962502,1246700,59.925,2.73334065530719
2019,Angola,AGO,89417190341.2533,-0.624644317706895,2809.62608839129,..,36,32.3651156542163,24.7806596959097,1246700,61.147,1.64374028332038
2017,Angola,AGO,122123822333.59,-0.147212941085755,4095.8100568707,..,32,16.2321625110476,16.5402705579421,1246700,60.379,2.50798545587522
2020,Angola,AGO,58375976292.9678,-5.39998738958575,1776.16686789531,..,..,..,..,1246700,..,1.61585203608809
2019,Antigua and Barbuda,ATG,1687533333.33333,4.86223616575663,17376.6496765004,..,..,..,..,440,77.016,..
2016,Antigua and Barbuda,ATG,1436585185.18519,5.49645920357835,15198.7429664112,..,73,..,..,440,76.617,..
2018,Antigua and Barbuda,ATG,1605944444.44444,6.883640816875,16679.5916624545,..,..,..,..,440,76.885,..
2020,Antigua and Barbuda,ATG,1370281481.48148,-20.1923705722071,13992.7444804497,..,..,..,..,440,..,..
2017,Antigua and Barbuda,ATG,1467977777.77778,3.14432323970505,15383.5763979856,..,..,..,..,440,76.752,..
2017,Arab World,ARB,2466442560038.42,0.929186997414092,5987.3419570748,..,52.0416280063478,..,..,13081768.953,71.6226704254941,6.48067092159043
2018,Arab World,ARB,2730779681432.55,2.39775322151057,6504.14849275027,..,..,..,..,13081763.715,71.8070751075422,6.03954610002205
2016,Arab World,ARB,2411981152232.62,3.20003366601181,5969.61659266763,..,42.914231036638,..,..,13081769.201,71.4365471749074,6.21232625408625
2019,Arab World,ARB,2776468692322.96,2.05038751157234,6489.04321596317,..,62.9672084149395,..,..,13081763.715,71.9897093670282,5.3622104691016
2020,Arab World,ARB,2447584445275.52,-5.28184428753164,5612.68656952782,..,..,..,..,13081763.715,..,5.72440395314749
2017,Argentina,ARG,643628665302.155,2.81850297775918,14613.041824658,41.1,74.29490687,9.41981401802244,11.8066620522456,2736690,76.372,0.856137916373543
2019,Argentina,ARG,451932356085.842,-2.0259342366392,10056.637940265,42.9,..,15.7968012384907,18.5554671655293,2736690,76.667,0.706186670516138
2016,Argentina,ARG,557531376217.967,-2.08032784377811,12790.2424732447,42,70.96898082,11.3900941602608,13.9565149181762,2736690,76.221,0.813140077928875
2018,Argentina,ARG,524819742918.669,-2.61739646282038,11795.1593866287,41.3,..,12.8697462802931,16.4774289491684,2736690,76.52,0.745498854953045
2020,Argentina,ARG,389288056265.325,-9.89526896368687,8579.01777315683,..,..,..,..,2736690,..,0.761486737293151
2018,Armenia,ARM,12457941907.0333,5.19999999965324,4220.54032079145,34.4,68.24505226,10.4650763845107,10.1820168168123,28470,74.945,4.11988615256896
2019,Armenia,ARM,13619291361.2814,7.59999999853918,4604.64632355695,29.9,66.54394969,11.0662128241963,9.96461886338451,28470,75.087,4.76896835374862
2017,Armenia,ARM,11527458565.7334,7.50000000164144,3914.52785436696,33.6,64.74488433,9.69722344521238,9.60777563027228,28470,74.797,3.84973057654684
2020,Armenia,ARM,12641209802.112,-7.40000000000001,4266.01807420946,..,..,..,..,28470,..,4.85804841168719
2016,Armenia,ARM,10546135160.031,0.199999999825991,3591.82805221639,32.5,64.34602977,7.54302134369226,8.24198882048674,28470,74.64,4.09034921699325
2018,Aruba,ABW,3202188606.92893,..,30253.2793580195,..,..,..,..,180,76.152,..
2017,Aruba,ABW,3092430167.59777,1.9999991044233,29350.8050189137,..,97.17,..,..,180,76.01,..
2016,Aruba,ABW,2983636871.50838,2.09999958566985,28452.1706146796,..,93.54245387,..,..,180,75.868,..
2020,Aruba,ABW,..,..,..,..,..,..,..,180,..,..
2019,Aruba,ABW,..,..,..,..,..,..,..,180,76.293,..
2020,Australia,AUS,1327836171068.51,-0.00383655856659004,51692.8427477695,..,..,..,..,7692020,..,2.06304277734412
