Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)"
2020,Andorra,AND,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.99186992645264
2018,Andorra,AND,3218316013.22626,10,99.1540603637695,99.2485580444336,99.2001800537109,99.4593811035156,..,..,..,..,..,..,..,..,21.42039,25.30678,5.64106,3.2467200756073,13.4619197845459
2019,Andorra,AND,3155065487.51819,10,98.7865524291992,98.8557586669922,98.9328308105469,99.2426834106445,..,..,..,..,..,..,..,..,..,..,..,3.15060997009277,10.8952398300171
2017,Andorra,AND,3000180750.11297,10,98.8672790527344,98.9182510375977,99.1742095947266,99.2702178955078,..,..,..,..,..,..,..,..,22.04794,24.76438,5.67515,3.21708989143372,9.39243984222412
2018,Angola,AGO,101353230784.594,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.04469990730286,5.41023015975952
2016,Angola,AGO,101123851090.455,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75494003295898,6.55097007751465
2019,Angola,AGO,89417190341.2533,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.82117998600006,6.04536008834839
2017,Angola,AGO,122123822333.59,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.46688008308411,6.76378011703491
2020,Angola,AGO,58375976292.9678,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.46722984313965
2019,Antigua and Barbuda,ATG,1687533333.33333,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.82214999198914,8.54749011993408
2016,Antigua and Barbuda,ATG,1436585185.18519,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43079996109009,6.76265001296997
2018,Antigua and Barbuda,ATG,1605944444.44444,11,..,..,53.067699432373,..,..,..,..,..,..,..,..,..,..,..,..,2.64407992362976,7.23061990737915
2020,Antigua and Barbuda,ATG,1370281481.48148,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.32161998748779,8.94178009033203
2017,Antigua and Barbuda,ATG,1467977777.77778,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.44847989082336,7.39179992675781
2017,Arab World,ARB,2466442560038.42,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.84932994842531
2018,Arab World,ARB,2730779681432.55,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,Arab World,ARB,2411981152232.62,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Arab World,ARB,2776468692322.96,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.2280197143555
2020,Arab World,ARB,2447584445275.52,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Argentina,ARG,643628665302.155,14,88.36083984375,86.1723785400391,95.4454574584961,89.0937576293945,..,..,..,..,..,..,..,..,29.59458,39.5394,22.08034,5.45431995391846,13.2639198303223
2019,Argentina,ARG,451932356085.842,14,97.8984985351563,98.0829467773438,99.3100433349609,98.2297592163086,..,..,..,..,..,..,..,..,..,..,..,4.80237007141113,12.5300703048706
2016,Argentina,ARG,557531376217.967,14,88.6820602416992,86.3291320800781,95.7014083862305,89.1933822631836,..,..,..,..,..,..,..,..,30.07402,40.93612,20.36758,5.54548978805542,13.3555402755737
2018,Argentina,ARG,524819742918.669,14,96.7341384887695,97.2601318359375,99.054313659668,97.4406661987305,..,..,..,..,..,..,..,..,..,..,..,4.94551992416382,12.5233402252197
2020,Argentina,ARG,389288056265.325,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,Armenia,ARM,12457941907.0333,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.25587010383606,8.98857975006104
2019,Armenia,ARM,13619291361.2814,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.56185007095337,..
2017,Armenia,ARM,11527458565.7334,12,..,84.3743515014648,98.929931640625,87.5886764526367,24.3800601959229,96.5927734375,46.7269706726074,99.3582916259766,43.519889831543,90.0966491699219,..,0.310050010681152,19.37351,46.87318,12.99242,2.70759010314941,10.4031295776367
2020,Armenia,ARM,12641209802.112,12,86.3785934448242,89.4909515380859,96.7581787109375,90.7957992553711,24.2097206115723,96.4698181152344,46.5191802978516,99.3389282226563,43.3225784301758,89.880859375,..,0.587930023670197,..,..,..,2.70476007461548,8.68249034881592
2016,Armenia,ARM,10546135160.031,12,100,95.8201217651367,99.6426467895508,90.7032318115234,..,..,..,..,..,..,..,..,20.66574,51.07427,13.18401,2.75812005996704,10.1971998214722
2018,Aruba,ABW,3202188606.92893,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Aruba,ABW,3092430167.59777,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,Aruba,ABW,2983636871.50838,13,100,100,100,100,..,..,..,..,..,..,..,..,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566
2020,Aruba,ABW,..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Aruba,ABW,..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,Australia,AUS,1327836171068.51,10,..,..,..,..,35.0234107971191,94.5065307617188,51.5605506896973,..,46.4523887634277,80.0530319213867,9.39603996276855,1.57927000522614,..,..,..,..,..
2017,Australia,AUS,1326882872011.46,10,92.866569519043,93.0339126586914,88.6142272949219,..,31.3911895751953,93.0057067871094,47.6669883728027,..,42.6143493652344,77.261360168457,7.36984014511108,1.20350003242493,..,..,..,5.12790012359619,13.6029195785522
2018,Australia,AUS,1428529571351.06,10,90.6768569946289,91.0842514038086,87.6458435058594,..,31.7493305206299,93.4390716552734,48.3026695251465,..,43.2722282409668,78.3257598876953,7.80558013916016,1.13663005828857,..,..,..,5.10789012908936,13.4804601669312
2016,Australia,AUS,1206685107002.47,10,94.6533126831055,94.8131713867188,88.9414978027344,..,30.0298099517822,92.7639923095703,46.4734306335449,..,41.3899192810059,76.4180374145508,6.73469018936157,1.08241999149323,32.99107,31.27629,26.82461,5.276780128479,13.804349899292
2019,Australia,AUS,1391952510370.48,10,..,..,..,..,33.0947799682617,93.9455032348633,49.6182403564453,..,44.457950592041,79.0479278564453,8.36880016326904,1.33219003677368,..,..,..,..,..
2018,Austria,AUT,454945881027.378,13,91.1173477172852,96.7398681640625,90.1958389282227,92.8928527832031,..,..,..,..,..,..,..,..,..,..,..,5.22535991668701,10.7277002334595
2019,Austria,AUT,445011872704.47,13,..,..,..,..,15.3636302947998,..,32.1179618835449,..,29.8692092895508,80.6740493774414,12.0726299285889,1.02383005619049,..,..,..,..,..
2017,Austria,AUT,416230497429.163,13,91.6796112060547,96.6040878295898,91.4032211303711,93.3056716918945,14.2486295700073,..,30.6283702850342,..,28.4334697723389,79.6625823974609,11.400839805603,0.942659974098206,..,..,..,5.3718900680542,10.9303102493286
2020,Austria,AUT,433258467676.515,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,Austria,AUT,395568644341.038,10,93.0493469238281,97.3751907348633,90.4238662719727,93.7537612915039,13.4557199478149,..,29.9815807342529,..,27.8241901397705,79.3689804077148,10.9914598464966,0.816139996051788,16.60016,39.62838,32.48871,5.4796199798584,10.9538497924805
2019,Azerbaijan,AZE,48174235294.1176,10,99.9070892333984,99.9405670166016,93.2308883666992,98.1351928710938,15.7220296859741,95.5190582275391,30.0201396942139,98.5110015869141,25.4013004302979,88.4195785522461,..,..,..,..,..,2.68108010292053,8.07215023040771
2018,Azerbaijan,AZE,47112941176.4706,10,..,..,96.3908996582031,98.6565628051758,..,..,..,..,..,..,..,..,..,..,..,2.45543003082275,7.41052007675171
2017,Azerbaijan,AZE,40865558912.3867,10,..,..,99.0771102905273,98.7050704956055,15.71702003479,95.5160903930664,30.0558700561523,98.4994583129883,25.4286708831787,88.5012283325195,..,..,..,..,16.40216,2.47381997108459,6.95039987564087
2016,Azerbaijan,AZE,37867518957.1975,10,..,98.3368606567383,98.4616317749023,98.0477066040039,15.7419004440308,95.6413116455078,30.0917091369629,98.4961471557617,25.4651203155518,88.6644515991211,..,..,..,..,17.08263,2.90340995788574,8.20689964294434
2020,Azerbaijan,AZE,42607176470.5882,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.5025300979614
2020,"Bahamas, The",BHS,9907500000,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.51087999343872,11.2443103790283
2016,"Bahamas, The",BHS,11992600000,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.32517004013062,11.886079788208
2017,"Bahamas, The",BHS,12359700000,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.41849994659424,10.5762195587158
2018,"Bahamas, The",BHS,12837800000,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.30952000617981,11.4196796417236
2019,"Bahamas, The",BHS,13164400000,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.39893007278442,11.2660703659058
2018,Bahrain,BHR,37801462765.9574,9,..,..,..,..,21.6051292419434,79.9361190795898,32.3650703430176,87.0229034423828,..,64.9282302856445,1.42034995555878,0.244470000267029,..,..,..,..,..
2016,Bahrain,BHR,32234973404.2553,9,..,..,..,..,14.2819995880127,69.2239532470703,23.9291496276855,76.7471084594727,..,54.0475997924805,1.29306995868683,0.233390003442764,..,..,..,..,..
2019,Bahrain,BHR,38652579787.234,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Bahrain,BHR,35473776595.7447,9,..,..,..,..,14.3398103713989,72.3471069335938,24.4504508972168,79.6901473999023,..,56.538158416748,1.27901005744934,0.232549995183945,..,..,..,2.32452011108398,7.22384977340698
2020,Bahrain,BHR,34729228723.4043,9,..,..,..,..,23.3337593078613,82.0465087890625,32.736141204834,93.0545425415039,..,68.7366790771484,2.04341006278992,0.264780014753342,..,..,..,..,..
2020,Bangladesh,BGD,323056957972.312,5,..,57.1671295166016,81.1906890869141,..,14.1016798019409,54.5232086181641,22.3817501068115,62.870059967041,14.5304298400879,36.7704391479492,5.74837017059326,0.245279997587204,..,..,..,..,11.8447504043579
2019,Bangladesh,BGD,302571320445.75,5,..,56.4992485046387,81.0479431152344,71.0398330688477,9.76054954528809,44.6835517883301,16.2052707672119,61.0552597045898,10.1376104354858,31.330099105835,4.26195001602173,0.20524999499321,..,..,..,1.32632005214691,9.27375030517578
2016,Bangladesh,BGD,221415188000.475,5,..,72.821533203125,91.867301940918,85.8173065185547,8.50959968566895,41.5008010864258,14.3473196029663,56.3039588928223,8.8502197265625,28.9691696166992,3.48118996620178,0.165959998965263,..,64.32827,33.27739,1.53553998470306,11.4192800521851
2018,Bangladesh,BGD,274038973437.275,5,..,..,..,..,9.36174011230469,43.6428413391113,15.5677995681763,58.3957481384277,9.72739028930664,30.5447692871094,4.01797008514404,0.193049997091293,..,..,..,..,11.6814804077148
2017,Bangladesh,BGD,249710922462.309,5,..,..,..,..,8.97688007354736,42.6180801391602,14.9236602783203,57.4410705566406,9.32695960998535,29.7941703796387,3.79243993759155,0.179409995675087,..,..,..,..,16.0549793243408
2017,Barbados,BRB,4978000000,11,..,..,..,95.5531768798828,..,..,..,..,..,..,..,..,..,..,28.54073,4.36638021469116,12.879150390625
2019,Barbados,BRB,5209000000,11,94.7311935424805,96.130241394043,97.0993576049805,95.9196929931641,..,..,..,..,..,..,..,..,..,..,..,3.20398998260498,10.7784900665283
2016,Barbados,BRB,4830000000,11,91.9885406494141,99.2898483276367,100,95.8917007446289,..,..,..,..,..,..,..,..,29.6064,39.30671,31.08689,4.70732021331787,13.3624496459961
2018,Barbados,BRB,5086500000,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.42886018753052,16.358570098877
2020,Barbados,BRB,4418000000,11,97.1811294555664,95.8647079467773,99.9376907348633,97.7539672851563,..,..,..,..,..,..,..,..,..,..,..,4.29515981674194,16.1424694061279
2017,Belarus,BLR,54726595249.1849,9,..,94.9021530151367,94.0915374755859,94.3678207397461,..,..,..,..,..,..,..,..,..,50.45858,16.47839,4.79499006271362,12.2816896438599
2016,Belarus,BLR,47722657820.6675,9,..,..,96.0510482788086,96.0329132080078,..,..,..,..,..,..,..,..,..,..,16.10117,4.94654989242554,12.1587800979614
2020,Belarus,BLR,60258239055.5829,9,..,..,92.5557022094727,91.5969390869141,..,..,..,..,..,..,..,..,..,..,..,4.95244979858398,12.8966102600098
2018,Belarus,BLR,60031262269.3365,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.38111019134521,13.2640399932861
2019,Belarus,BLR,64409647193.8044,9,..,92.1874313354492,92.4047393798828,92.4473419189453,28.303539276123,98.1666870117188,73.7667007446289,99.7885513305664,60.6895790100098,94.7378082275391,0.916729986667633,0.302630007266998,..,..,..,4.97947978973389,13.2321500778198
2020,Belgium,BEL,521861292586.616,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,Belgium,BEL,543008499294.079,12,93.3263168334961,96.6704864501953,94.501838684082,94.5508499145508,..,..,..,..,..,..,..,..,..,..,..,6.37663984298706,12.2238397598267
2016,Belgium,BEL,475739588764.759,12,93.7514724731445,95.2086563110352,95.0458984375,94.4400863647461,32.1669616699219,84.7895202636719,33.7627182006836,95.6992492675781,32.5408706665039,67.0826416015625,13.6618700027466,0.623889982700348,23.81164,..,22.2845,6.46173000335693,12.1649503707886
2019,Belgium,BEL,535288715239.999,12,..,..,..,..,35.3040084838867,88.4269638061523,37.0678596496582,96.7423629760742,35.7981986999512,71.4462585449219,15.6211595535278,0.603200018405914,..,..,..,..,..
