,Year,Country Name,Country Code,Life Expectancy at birth (total years),Lifetime risk of maternal death (%),"Mortality cauased by road traffic injury (per 100,000 population)","Mortality from CVD, cancer, diabetes or CRD between ages 30 and 70 (%)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Suicide mortality rate (per 100,000 population)",Weighted World Death
42,2018,Antigua and Barbuda,ATG,0.9006957474165437,0.011639327023730432,0.0,0.3436893203883495,0.09225547670472076,0.13333333333333333,0.0009900990099009901,0.06465997770345595,0.08407079646017698,0.052954719877206444,0.004597701149425287,-2.996852988440943
43,2019,Antigua and Barbuda,ATG,0.902230391923425,0.011523977726439455,0.0,0.33980582524271846,0.09225547670472076,0.11666666666666665,0.0009900990099009901,0.06243032329988851,0.07964601769911504,0.05065234075211051,0.004597701149425287,-2.8156243732818687
44,2020,Antigua and Barbuda,ATG,0.9037767512738704,0.011408628429148481,0.0,0.3368932038834952,0.09225547670472076,0.08333333333333333,0.0009900990099009901,0.06020066889632107,0.07743362831858407,0.04911742133537989,0.006896551724137931,-2.4949224306805764
45,2016,Arab World,ARB,0.8368679749048632,0.07647065363412121,0.27040783716881356,0.44402532253871646,0.31450486543036404,0.15117502451228368,0.07342471551995901,0.3130854619340178,0.3834622548543827,0.2891919829441381,0.04894286792629,-10.19057921566815
46,2017,Arab World,ARB,0.8390483796691057,0.07411737753539928,0.26824554133528267,0.43657078566886603,0.31450486543036404,0.14655363430479917,0.07342471551995901,0.3042666841620089,0.3786783861967434,0.2780611985284336,0.04803979139843402,-10.024147436130418
47,2018,Arab World,ARB,0.8412086516717645,0.07176410143667733,0.27292776315650036,0.4352786039242408,0.31450486543036404,0.14354976297579433,0.07342471551995901,0.29905794623274917,0.3733929219344933,0.27333190199345503,0.048421652273712076,-9.989689700322085
48,2019,Arab World,ARB,0.8433481834510661,0.0694108253379554,0.273500687538621,0.4324371031001553,0.31450486543036404,0.14479707589266366,0.07342471551995901,0.2935652886639398,0.36853190281182746,0.26773414751919183,0.0480497161074423,-9.944438446672276
49,2020,Arab World,ARB,0.8454980853420464,0.06705754923923346,0.27612826064029017,0.43037026181579996,0.31450486543036404,0.1439187966865959,0.07342471551995901,0.2874024387189677,0.36297069162847784,0.26159937827612895,0.04805467846194644,-9.897610764124888
50,2016,Argentina,ARG,0.8929170912900615,0.01357941501063422,0.19118644067796609,0.3262135922330097,0.08207343412526998,0.06666666666666667,0.0039603960396039604,0.10813823857302117,0.1415929203539823,0.08365310821181887,0.09540229885057472,-3.820558968416921
51,2017,Argentina,ARG,0.8946860326682223,0.013064389497341261,0.18983050847457628,0.3145631067961165,0.08207343412526998,0.08333333333333333,0.0039603960396039604,0.10256410256410255,0.13938053097345132,0.07904834996162702,0.10229885057471265,-3.7820381724762906
52,2018,Argentina,ARG,0.8964198295156912,0.012549363984048304,0.18440677966101696,0.312621359223301,0.08207343412526998,0.08333333333333333,0.0039603960396039604,0.09587513935340021,0.1327433628318584,0.07444359171143514,0.10574712643678161,-3.6336154030235783
53,2019,Argentina,ARG,0.8981419115195962,0.012034338470755345,0.19118644067796609,0.3048543689320388,0.08207343412526998,0.06666666666666667,0.0039603960396039604,0.0903010033444816,0.11725663716814158,0.06983883346124328,0.09655172413793103,-3.534252785079422
54,2020,Argentina,ARG,0.899887423210629,0.011519312957462387,0.17355932203389832,0.30873786407767,0.08207343412526998,0.08333333333333333,0.0039603960396039604,0.08472686733556298,0.10176991150442477,0.06600153491941672,0.11264367816091948,-3.2912016666260104
55,2016,Armenia,ARM,0.8743959236154103,0.0071813335424228,0.2128813559322034,0.42135922330097086,0.16908361616784942,0.13333333333333333,0.0019801980198019802,0.13377926421404682,0.15486725663716813,0.10283960092095164,0.06551724137931035,-6.010107031633465
56,2017,Armenia,ARM,0.876235154054955,0.006992353658728953,0.2223728813559322,0.41359223300970877,0.16908361616784942,0.15,0.0019801980198019802,0.12597547380156077,0.14823008849557523,0.09746738296239446,0.034482758620689655,-6.419983825051839
57,2018,Armenia,ARM,0.8779689509024239,0.006803373775035105,0.2766101694915254,0.3883495145631068,0.16908361616784942,0.11666666666666665,0.0019801980198019802,0.12040133779264214,0.1415929203539823,0.0928626247122026,0.02413793103448276,-6.611367289493105
58,2019,Armenia,ARM,0.879632458688509,0.006614393891341257,0.2711864406779661,0.3864077669902912,0.16908361616784942,0.11666666666666665,0.0019801980198019802,0.11371237458193979,0.1327433628318584,0.08825786646201074,0.03793103448275862,-6.3632741926843215
59,2020,Armenia,ARM,0.8815419781894375,0.00642541400764741,0.3403389830508475,0.3553398058252427,0.16908361616784942,0.09999999999999998,0.0019801980198019802,0.10813823857302117,0.1261061946902655,0.08365310821181887,-0.017241379310344827,-7.211289872448178
60,2016,Aruba,ABW,0.8887817515119767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8887817515119767
61,2017,Aruba,ABW,0.8904452592980618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8904452592980618
62,2018,Aruba,ABW,0.8921087670841469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921087670841469
63,2019,Aruba,ABW,0.893760560026668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893760560026668
64,2020,Aruba,ABW,0.8954123529691892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954123529691892
65,2016,Australia,AUS,0.9658745654554981,0.0017523785576276409,0.0759322033898305,0.17475728155339806,0.02591792656587473,0.016666666666666666,0.0009900990099009901,0.03567447045707915,0.050884955752212385,0.029163468917881807,0.14022988505747125,-0.041594180332767294
66,2017,Australia,AUS,0.9664745940282871,0.0017351551404777836,0.07050847457627119,0.16893203883495145,0.02591792656587473,0.016666666666666666,0.0009900990099009901,0.03567447045707915,0.050884955752212385,0.029163468917881807,0.15057471264367817,0.13547279824371006
67,2018,Australia,AUS,0.9693890185246918,0.0017179317233279264,0.06508474576271187,0.16893203883495145,0.02591792656587473,0.016666666666666666,0.0009900990099009901,0.03567447045707915,0.050884955752212385,0.028396009209516498,0.1425287356321839,0.12328055660572101
68,2019,Australia,AUS,0.9711605314538788,0.0017007083061780692,0.0664406779661017,0.1669902912621359,0.02591792656587473,0.016666666666666666,0.0009900990099009901,0.03567447045707915,0.053097345132743355,0.028396009209516498,0.14367816091954022,0.12490914480970139
69,2020,Australia,AUS,0.9735035001666748,0.001683484889028212,0.06440677966101695,0.16601941747572818,0.02591792656587473,0.016666666666666666,0.0009900990099009901,0.03455964325529543,0.053097345132743355,0.028396009209516498,0.14022988505747125,0.12364063715033013
70,2016,Austria,AUT,0.9564169722367739,0.0010503727807747562,0.07050847457627119,0.2174757281553398,0.04720765195927183,0.016666666666666666,0.0009900990099009901,0.033444816053511704,0.048672566371681415,0.02762854950115119,0.1781609195402299,0.020470394174488482
71,2017,Austria,AUT,0.9564455450259538,0.0010561410492781862,0.0664406779661017,0.20970873786407768,0.04720765195927183,0.016666666666666666,0.0009900990099009901,0.03232998885172798,0.048672566371681415,0.02762854950115119,0.17701149425287357,0.09189671133903443
72,2018,Austria,AUT,0.9570170008095629,0.0010619093177816161,0.06508474576271187,0.21165048543689322,0.04720765195927183,0.016666666666666666,0.0009900990099009901,0.03232998885172798,0.048672566371681415,0.02762854950115119,0.18045977011494252,0.12735323405108467
