,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
23,2019,Algeria,DZA,0.5882352941176471,0.7865848608607559,0.45145514685493016,0.308166849501607,5.561985579775351
24,2020,Algeria,DZA,0.5882352941176471,0.7865816801373328,0.4207678764089419,0.3526061436278793,5.6339161983684996
25,2016,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0
26,2017,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0
27,2018,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0
28,2019,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0
29,2020,American Samoa,ASM,0.0,0.0,0.0,0.0,0.0
30,2016,Andorra,AND,0.5882352941176471,0.7764458548452264,0.23955831622033077,0.21287331103226648,4.811755279036014
31,2017,Andorra,AND,0.5882352941176471,0.7781017514623534,0.23807968861146753,0.20012048249567826,4.77716312467703
32,2018,Andorra,AND,0.5882352941176471,0.7806999824039984,0.24027246073149136,0.2868270574904747,5.052061317668047
33,2019,Andorra,AND,0.5882352941176471,0.7776101796592623,0.23315986370576228,0.2321399645156361,4.861415633713128
34,2020,Andorra,AND,0.5882352941176471,0.7779982879306074,0.23102704620090608,0.19158571983932685,4.737039697759869
35,2016,Angola,AGO,0.35294117647058826,0.0,0.2038784390006073,0.13957856688454906,1.1794337551254501
36,2017,Angola,AGO,0.35294117647058826,0.0,0.18256065632059637,0.1441128144819906,1.1504009325577529
37,2018,Angola,AGO,0.35294117647058826,0.0,0.15131735004694405,0.1152733355944885,1.001395883347942
38,2019,Angola,AGO,0.35294117647058826,0.0,0.1347758311407022,0.12880576272649477,1.008910126931477
39,2020,Angola,AGO,0.35294117647058826,0.0,0.11174162852073384,0.13779435145288993,0.9898074878707257
40,2016,Antigua and Barbuda,ATG,0.6470588235294118,0.0,0.17989055865491635,0.1440887358640228,1.4391061484313128
41,2017,Antigua and Barbuda,ATG,0.6470588235294118,0.0,0.1811989560909897,0.15749374951588802,1.4819379842590554
42,2018,Antigua and Barbuda,ATG,0.6470588235294118,0.0,0.19567427275122362,0.15405955948767888,1.5005860474948958
43,2019,Antigua and Barbuda,ATG,0.6470588235294118,0.0,0.20885229010750284,0.18211751958617814,1.6111159625029519
44,2020,Antigua and Barbuda,ATG,0.6470588235294118,0.0,0.24581540429207255,0.19051847827686053,1.7102450669441382
45,2016,Arab World,ARB,0.5294117647058824,0.0,0.0,0.2058209479831147,1.1468746086552266
46,2017,Arab World,ARB,0.5294117647058824,0.0,0.0,0.2098552340657062,1.1589774669030009
47,2018,Arab World,ARB,0.5294117647058824,0.0,0.0,0.21388952014829768,1.1710803251507755
48,2019,Arab World,ARB,0.5294117647058824,0.0,0.0,0.21792380623088917,1.1831831833985498
49,2020,Arab World,ARB,0.5294117647058824,0.0,0.0,0.22195809231348065,1.1952860416463245
50,2016,Argentina,ARG,0.8235294117647058,0.6790743686744115,0.41039216387886507,0.2845604772386145,5.214292645935926
51,2017,Argentina,ARG,0.8235294117647058,0.6778413282316937,0.4036451700258542,0.2826083617054649,5.190010149859583
52,2018,Argentina,ARG,0.8235294117647058,0.7650588049746039,0.3659915896978562,0.2668291658427106,5.416235308586965
53,2019,Argentina,ARG,0.8235294117647058,0.7715311570463596,0.355397831513204,0.26697256061654967,5.421367384826201
54,2020,Argentina,ARG,0.8235294117647058,0.8023500865036757,0.33706638739131695,0.261109921742528,5.490392297789627
55,2016,Armenia,ARM,0.7058823529411765,0.7537315286988876,0.20411377586261759,0.2172671406639143,4.780837441453706
56,2017,Armenia,ARM,0.7058823529411765,0.6636978514393314,0.20037432288160967,0.22165479316487494,4.426386783956346
57,2018,Armenia,ARM,0.7058823529411765,0.7288385570414136,0.16694493159774773,0.19151561753385102,4.52967329690388
58,2019,Armenia,ARM,0.7058823529411765,0.7163920712126768,0.18958887931167723,0.1930622166292103,4.529815046302869
59,2020,Armenia,ARM,0.7058823529411765,0.7039455853839398,0.2001648875425743,0.18499390861764234,4.476976195415011
