,Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score,Age
0,Afghanistan,AFG,2016,-1.526172,-1.226401,-2.671054,-1.327688,-1.498478,-1.037838,0
1,Afghanistan,AFG,2017,-1.515626,-1.325545,-2.801084,-1.336691,-1.562423,-0.9908541,1
2,Afghanistan,AFG,2018,-1.487624,-1.453096,-2.763864,-1.133277,-1.664038,-1.011603,2
3,Afghanistan,AFG,2019,-1.400733,-1.463065,-2.655531,-1.12069,-1.713714,-1.006792,3
4,Afghanistan,AFG,2020,-1.475405,-1.523115,-2.729808,-1.378587,-1.807697,-1.083459,4
5,Albania,ALB,2016,-0.4051488,0.0130421,0.3446447,0.1890221,-0.3289996,0.1709267,0
6,Albania,ALB,2017,-0.4207218,0.0768489,0.3784748,0.223364,-0.4043231,0.2037846,1
7,Albania,ALB,2018,-0.4786321,0.0572399,0.3705156,0.2541973,-0.4033851,0.1807338,2
8,Albania,ALB,2019,-0.5330888,-0.0622132,0.1111686,0.2738677,-0.4110933,0.1427107,3
9,Albania,ALB,2020,-0.5401961,-0.1357432,0.0839363,0.2371311,-0.3582943,0.0873399,4
10,Algeria,DZA,2016,-0.6777601,-0.5313044,-1.097526,-1.171879,-0.8576039,-0.8628893,0
11,Algeria,DZA,2017,-0.6018301,-0.5919687,-0.9157991,-1.19422,-0.8636625,-0.9040661,1
12,Algeria,DZA,2018,-0.65687,-0.5273783,-0.8361196,-1.226688,-0.7409661,-1.000405,2
13,Algeria,DZA,2019,-0.6211485,-0.5163999,-1.044343,-1.303447,-0.8157083,-1.056199,3
14,Algeria,DZA,2020,-0.6418455,-0.5258437,-0.8601653,-1.291494,-0.7803177,-1.102139,4
15,American Samoa,ASM,2016,1.228804,0.5310323,1.193236,0.1366879,1.340514,1.869559,0
16,American Samoa,ASM,2017,1.843864,0.5624972,1.218863,-0.2525457,1.361758,1.666395,1
17,American Samoa,ASM,2018,1.845657,0.5495368,1.216776,-0.2859912,1.364065,1.463231,2
18,American Samoa,ASM,2019,1.844056,0.5423087,1.172189,-0.2996039,1.335337,1.272752,3
19,American Samoa,ASM,2020,1.314374,0.6968508,1.169803,0.542098,1.193629,1.056903,4
20,Andorra,AND,2016,1.228804,1.860076,1.413419,0.8714429,1.578047,1.176598,0
21,Andorra,AND,2017,1.245126,1.940301,1.421869,1.209727,1.605818,1.161647,1
22,Andorra,AND,2018,1.239041,1.943918,1.417627,1.193258,1.607841,1.036913,2
23,Andorra,AND,2019,1.234696,1.908389,1.602202,1.228282,1.580232,1.110124,3
24,Andorra,AND,2020,1.314374,1.825594,1.618512,1.339709,1.698638,1.089068,4
25,Angola,AGO,2016,-1.439528,-1.03597,-0.3158988,-1.00138,-1.087554,-1.1396,0
26,Angola,AGO,2017,-1.410953,-1.026034,-0.380449,-1.042228,-1.101168,-1.097939,1
27,Angola,AGO,2018,-1.139192,-1.045002,-0.3356918,-0.8776826,-1.048343,-0.9063034,2
28,Angola,AGO,2019,-1.054451,-1.11754,-0.358525,-0.8940375,-1.054597,-0.7835322,3
29,Angola,AGO,2020,-0.9270931,-1.181797,-0.520679,-0.9085017,-0.9631715,-0.8106282,4
30,Anguilla,AIA,2016,1.228804,1.328458,1.315344,0.8714429,-0.0846848,0.0,0
31,Anguilla,AIA,2017,1.245126,0.8380581,1.389452,0.844159,-0.1025973,0.0,1
32,Anguilla,AIA,2018,1.239041,0.828413,1.287406,0.8234454,-0.0985886,0.0,2
33,Anguilla,AIA,2019,1.234696,0.8155248,1.355694,0.8463107,0.3557552,0.0,3
34,Anguilla,AIA,2020,0.6787988,0.9790366,1.540881,0.9409034,0.4361146,0.0,4
35,Antigua and Barbuda,ATG,2016,0.6938039,0.2652237,0.8786072,0.3414612,0.5088214,0.6336627,0
36,Antigua and Barbuda,ATG,2017,0.2442875,0.0113757,0.748045,0.2530876,0.4458083,0.6085795,1
37,Antigua and Barbuda,ATG,2018,0.2775422,-0.0082157,0.8408569,0.4139312,0.4153409,0.5700647,2
38,Antigua and Barbuda,ATG,2019,0.2784069,-0.0041234,0.9535552,0.4854296,0.4052342,0.7332423,3
39,Antigua and Barbuda,ATG,2020,0.2752807,-0.149707,0.9338933,0.5125659,0.4520202,0.7448558,4
40,Argentina,ARG,2016,-0.2839309,0.1618781,0.2046255,-0.4696253,-0.3937469,0.4933509,0
41,Argentina,ARG,2017,-0.2581808,0.1445933,0.1695043,-0.2898896,-0.2492861,0.5286481,1
42,Argentina,ARG,2018,-0.0687873,0.0272682,0.0108914,-0.2906713,-0.2436714,0.5323461,2
43,Argentina,ARG,2019,-0.0762876,-0.0869984,-0.0914442,-0.4932295,-0.4306342,0.5740061,3
44,Argentina,ARG,2020,-0.1163816,-0.2169417,0.0364368,-0.5673085,-0.4693715,0.5941538,4
45,Armenia,ARM,2016,-0.571828,-0.1583772,-0.6622638,0.2500556,-0.119234,-0.5792814,0
46,Armenia,ARM,2017,-0.5633132,-0.1026952,-0.6207712,0.2805222,-0.1606279,-0.5608286,1
47,Armenia,ARM,2018,-0.3475996,-0.0284142,-0.4449081,0.3279592,-0.1494592,-0.1379438,2
48,Armenia,ARM,2019,-0.1782838,-0.0666463,-0.4134244,0.249007,-0.13098,0.0554766,3
49,Armenia,ARM,2020,0.031597,-0.1242361,-0.5712944,0.2500479,-0.0832231,0.0446616,4
50,Aruba,ABW,2016,1.285871,0.8928662,1.284199,1.347553,1.261825,1.279368,0
51,Aruba,ABW,2017,1.294589,0.9199638,1.335038,1.194347,1.335014,1.295541,1
52,Aruba,ABW,2018,1.252447,1.056812,1.356553,0.8561839,1.297677,1.271613,2
53,Aruba,ABW,2019,1.217546,1.029622,1.349796,0.8574405,1.26335,1.264411,3
54,Aruba,ABW,2020,1.235405,1.129532,1.384053,0.9238698,1.306116,1.289108,4
55,Australia,AUS,2016,1.816108,1.568043,1.047958,1.896966,1.755667,1.353702,0
56,Australia,AUS,2017,1.798351,1.538219,0.8960608,1.933411,1.686461,1.375636,1
57,Australia,AUS,2018,1.805214,1.595232,0.989604,1.902706,1.715382,1.380593,2
58,Australia,AUS,2019,1.825413,1.571555,0.9117457,1.873689,1.734473,1.267441,3
59,Australia,AUS,2020,1.665165,1.619163,0.8487522,1.816904,1.651188,1.304121,4
60,Austria,AUT,2016,1.539869,1.510521,0.9096388,1.440436,1.800264,1.337481,0
61,Austria,AUT,2017,1.545208,1.507205,1.046833,1.440179,1.84235,1.385913,1
62,Austria,AUT,2018,1.605723,1.494416,0.902334,1.531354,1.896155,1.387745,2
63,Austria,AUT,2019,1.557738,1.527737,0.9167479,1.459237,1.904162,1.338795,3
64,Austria,AUT,2020,1.509674,1.655057,0.851911,1.401355,1.810441,1.398979,4
65,Azerbaijan,AZE,2016,-0.8383624,-0.165814,-0.8038791,-0.2820228,-0.5200193,-1.561036,0
66,Azerbaijan,AZE,2017,-0.8853079,-0.1726412,-0.7479199,-0.2449824,-0.5575179,-1.563684,1
67,Azerbaijan,AZE,2018,-0.8364836,-0.158052,-0.7067598,-0.1973939,-0.587534,-1.511334,2
68,Azerbaijan,AZE,2019,-0.8379928,-0.1401703,-0.6859124,-0.2269891,-0.5771515,-1.529508,3
69,Azerbaijan,AZE,2020,-1.048197,-0.1702325,-0.7252154,-0.3147717,-0.6910434,-1.545741,4
70,"Bahamas, The",BHS,2016,1.108086,0.7191967,0.9754187,0.2575893,0.2602585,0.8521555,0
71,"Bahamas, The",BHS,2017,1.176681,0.5790182,0.9895855,0.1230418,0.1914401,0.8495829,1
72,"Bahamas, The",BHS,2018,1.131582,0.5372647,0.8628951,0.1802535,0.0970907,0.7648554,2
73,"Bahamas, The",BHS,2019,1.137568,0.4858155,0.8162377,-0.0482854,0.0764876,0.9062235,3
74,"Bahamas, The",BHS,2020,1.137461,0.4521627,0.849964,0.0138412,0.0620066,0.9186843,4
75,Bahrain,BHR,2016,-0.0157671,0.3275663,-0.7934257,0.6082391,0.4563531,-1.372085,0
76,Bahrain,BHR,2017,-0.1390255,0.1955773,-0.9615637,0.4164841,0.4492349,-1.387303,1
77,Bahrain,BHR,2018,-0.1461672,0.1777807,-0.8504526,0.4166367,0.4128062,-1.421445,2
78,Bahrain,BHR,2019,-0.0096477,0.2984906,-0.6273595,0.4851534,0.4944274,-1.429295,3
79,Bahrain,BHR,2020,-0.0655486,0.4287471,-0.5911913,0.6258294,0.491358,-1.457495,4
80,Bangladesh,BGD,2016,-0.8569472,-0.678781,-1.261937,-0.7966801,-0.6636689,-0.5838786,0
81,Bangladesh,BGD,2017,-0.8317032,-0.7350984,-1.256081,-0.8055848,-0.6718881,-0.6150656,1
82,Bangladesh,BGD,2018,-0.8999589,-0.7402487,-0.9956784,-0.8343157,-0.6409807,-0.747334,2
83,Bangladesh,BGD,2019,-0.9934731,-0.7402849,-0.9329753,-0.9290726,-0.6363772,-0.7418209,3
84,Bangladesh,BGD,2020,-0.9782742,-0.7878783,-0.9173985,-0.9019138,-0.5731802,-0.7691441,4
85,Barbados,BRB,2016,1.257388,1.081779,0.9766099,0.4810649,0.7951409,1.085793,0
